essay_id,Phraseology_score,question1,question2,question3,question4,question5
5661280443,3.5,medium,medium,medium,medium,medium
0016926B079C,3.0,low,medium,low,low,low
0022683E9EA5,2.0,medium,medium,low,low,low
00299B378633,3.0,low,low,low,low,low
003885A45F42,4.5,medium,medium,medium,low,low
0049B1DF5CCC,3.0,medium,medium,medium,medium,low
004AC288D833,3.5,medium,medium,medium,medium,medium
008DDDDD8E8D,2.5,medium,medium,medium,medium,low
009BCCC61C2A,3.5,medium,medium,medium,low,low
009F4E9310CB,2.5,medium,medium,medium,medium,medium
00B21F9B726F,3.5,medium,medium,medium,medium,medium
00BCADB373EF,3.5,medium,medium,medium,medium,medium
00D281524375,3.0,medium,medium,medium,medium,medium
00ED2563D0B1,3.5,medium,medium,medium,medium,low
011AAA636F11,4.0,medium,medium,medium,low,low
01350DF42AED,2.0,low,low,low,low,low
01405C3C569D,2.5,medium,medium,medium,medium,low
01501F95B8B2,4.0,medium,medium,low,low,low
01794F5F1423,3.5,medium,medium,medium,medium,medium
017D2125A1DE,2.0,low,low,low,low,low
01911AC9674D,2.0,medium,medium,low,low,low
019BDC9DF7CD,3.0,medium,low,low,low,low
01A65BA4080E,4.0,medium,medium,medium,medium,low
01B3FDB3FD57,4.0,medium,high,high,medium,medium
01C53183305A,2.0,low,low,low,low,low
0230A077F5B6,2.5,low,low,low,low,low
025722D0AFB7,4.0,medium,high,medium,medium,medium
027CB6393714,3.5,low,medium,low,medium,low
02B07248077F,2.0,medium,medium,low,medium,low
02B36EBD5C66,3.5,medium,medium,medium,medium,medium
0316F6288791,3.0,medium,medium,low,low,low
032EA4B76BF5,3.0,medium,medium,medium,medium,medium
0369AD4B5726,3.0,low,low,low,low,low
037C88B5B111,3.0,medium,medium,low,low,low
037ED3EA2982,3.0,medium,medium,low,low,low
0381BBE47393,3.5,medium,medium,medium,medium,medium
0383E4A36E46,3.0,medium,medium,medium,low,low
03844422EA75,2.0,low,low,low,low,low
038480498E5A,3.5,medium,medium,medium,medium,low
03A3B40D651B,3.0,medium,medium,low,medium,low
03C9E7A15C42,2.5,low,low,low,low,low
03CB73341E0E,3.5,medium,medium,medium,medium,medium
03CC97D3747E,4.5,low,low,low,low,low
03D00899C901,3.0,medium,medium,low,low,low
03F7CF142B70,3.5,medium,medium,medium,medium,low
0420DDE0BABD,2.5,medium,medium,low,low,low
0435196871A1,2.0,medium,medium,medium,medium,medium
043B9F48FDC2,3.0,low,low,low,low,low
04491B61A791,2.5,low,low,low,low,low
0465517EB6B7,2.5,medium,medium,medium,medium,low
04659704890C,3.0,medium,medium,medium,medium,medium
046C6FB91CBA,3.0,medium,medium,medium,medium,medium
046ECC91332C,3.5,medium,medium,low,low,low
04788D56AC58,3.0,medium,medium,medium,medium,low
047BD3CB80B4,4.0,medium,medium,medium,medium,low
0484BCFC725D,3.0,medium,medium,medium,medium,low
04ACA7EB3994,4.0,medium,medium,low,low,low
04B3A4DD9460,3.0,medium,medium,low,low,low
04B6FD84A066,4.5,medium,medium,medium,medium,medium
04C2DA8069E7,2.0,low,medium,low,low,low
04E1A9EE5BE1,2.0,low,low,low,low,low
04FA62C5F269,2.5,low,medium,low,low,low
