essay_id,prompt_id,content_score,question1,question2,question3,question4,question5,question6
1,1,4.0,low,low,low,low,medium,medium
2,1,4.0,medium,medium,medium,medium,medium,medium
3,1,3.0,low,low,medium,low,medium,high
4,1,5.0,medium,medium,medium,medium,medium,medium
5,1,4.0,medium,medium,medium,medium,medium,medium
6,1,3.0,low,low,medium,low,low,high
7,1,5.0,low,low,medium,high,medium,high
8,1,6.0,medium,medium,medium,medium,medium,medium
9,1,5.0,low,medium,medium,high,medium,high
10,1,3.0,low,low,low,low,low,high
11,1,5.0,medium,medium,medium,medium,medium,medium
12,1,4.0,low,low,low,low,medium,high
13,1,2.0,low,low,medium,low,medium,medium
14,1,2.0,low,medium,medium,low,medium,medium
15,1,3.0,medium,medium,medium,medium,medium,medium
16,1,6.0,medium,medium,medium,medium,medium,medium
17,1,4.0,medium,medium,medium,high,medium,high
18,1,3.0,medium,medium,medium,low,medium,medium
19,1,1.0,low,low,low,low,low,high
20,1,3.0,medium,medium,medium,medium,medium,medium
21,1,5.0,medium,medium,medium,medium,medium,high
22,1,1.0,low,low,low,low,low,high
23,1,4.0,medium,medium,medium,medium,medium,high
24,1,4.0,medium,medium,medium,high,medium,high
25,1,3.0,medium,medium,medium,medium,medium,medium
26,1,3.0,medium,medium,medium,medium,medium,medium
27,1,1.0,low,low,medium,low,medium,medium
28,1,3.0,medium,medium,medium,medium,medium,medium
29,1,4.0,medium,medium,medium,medium,medium,medium
30,1,4.0,low,medium,medium,medium,medium,medium
31,1,3.0,low,medium,medium,low,medium,medium
32,1,5.0,low,medium,medium,low,medium,high
33,1,4.0,low,low,medium,low,medium,medium
34,1,3.0,medium,medium,medium,medium,medium,medium
35,1,4.0,medium,medium,medium,medium,medium,high
36,1,5.0,low,low,low,low,low,high
37,1,5.0,medium,medium,medium,medium,medium,medium
38,1,3.0,medium,medium,medium,medium,medium,medium
39,1,4.0,low,low,medium,low,low,medium
40,1,2.0,medium,medium,medium,medium,medium,medium
41,1,1.0,medium,medium,medium,medium,medium,medium
42,1,3.0,low,low,low,low,low,high
43,1,2.0,medium,medium,medium,medium,medium,medium
44,1,3.0,low,low,low,low,low,high
45,1,3.0,medium,medium,medium,medium,medium,medium
46,1,4.0,medium,medium,medium,medium,medium,medium
47,1,4.0,medium,medium,medium,medium,medium,medium
48,1,6.0,medium,medium,medium,medium,medium,medium
49,1,3.0,low,medium,medium,low,medium,medium
50,1,1.0,low,medium,medium,high,medium,high
51,1,3.0,low,medium,medium,low,medium,high
52,1,4.0,low,low,medium,low,medium,medium
53,1,3.0,medium,medium,medium,medium,medium,medium
54,1,4.0,medium,medium,medium,medium,medium,medium
55,1,4.0,low,medium,medium,low,medium,high
56,1,5.0,medium,medium,medium,medium,medium,medium
57,1,5.0,low,medium,medium,low,medium,medium
58,1,3.0,low,low,low,low,low,high
59,1,4.0,medium,medium,medium,medium,medium,medium
60,1,2.0,medium,low,low,medium,medium,medium
61,1,4.0,medium,medium,medium,high,medium,medium
62,1,3.0,medium,medium,medium,medium,medium,medium
63,1,4.0,medium,medium,medium,low,medium,medium
64,1,2.0,low,medium,medium,medium,medium,high
65,1,4.0,medium,medium,medium,high,medium,high
66,1,4.0,medium,medium,medium,medium,medium,medium
67,1,4.0,medium,medium,medium,medium,medium,medium
68,1,4.0,medium,medium,medium,medium,medium,medium
69,1,4.0,medium,medium,medium,medium,medium,medium
70,1,6.0,medium,low,medium,high,medium,high
71,1,4.0,low,medium,medium,medium,medium,medium
72,1,6.0,medium,medium,medium,medium,medium,medium
73,1,3.0,low,low,low,high,medium,high
74,1,3.0,medium,medium,medium,medium,medium,medium
75,1,4.0,medium,medium,medium,medium,medium,medium
76,1,3.0,low,medium,medium,high,medium,high
77,1,5.0,medium,medium,medium,high,medium,high
78,1,4.0,low,low,low,low,low,high
79,1,4.0,medium,medium,medium,medium,medium,medium
80,1,4.0,medium,medium,medium,high,medium,high
81,1,3.0,low,medium,medium,low,medium,medium
82,1,5.0,medium,medium,medium,medium,medium,medium
83,1,3.0,medium,medium,medium,low,medium,medium
