essay_id,prompt_id,conventions_score,question1,question2,question3,question4,question5
1,1,3,medium,low,low,medium,low
2,1,4,medium,medium,medium,medium,medium
3,1,4,medium,low,low,medium,low
4,1,4,medium,medium,medium,medium,medium
5,1,4,medium,medium,medium,medium,medium
6,1,3,low,low,low,low,low
7,1,5,medium,low,medium,medium,medium
8,1,4,medium,medium,medium,medium,medium
9,1,4,medium,medium,medium,medium,medium
10,1,3,medium,low,medium,medium,low
11,1,5,medium,low,medium,medium,medium
12,1,4,low,low,low,low,low
13,1,2,medium,low,low,medium,low
14,1,2,low,low,low,low,low
15,1,3,medium,medium,medium,medium,medium
16,1,5,medium,medium,medium,medium,medium
17,1,3,medium,medium,medium,medium,low
18,1,3,medium,medium,medium,medium,low
19,1,1,low,low,low,low,low
20,1,2,medium,low,medium,medium,low
21,1,4,medium,medium,medium,medium,medium
22,1,1,low,low,low,medium,low
23,1,4,medium,low,medium,medium,low
24,1,4,medium,medium,medium,medium,medium
25,1,4,medium,medium,medium,medium,low
26,1,3,medium,low,medium,medium,low
27,1,1,medium,medium,low,medium,low
28,1,3,medium,medium,medium,medium,medium
29,1,5,medium,medium,medium,medium,low
30,1,4,medium,medium,medium,medium,medium
31,1,3,medium,low,medium,medium,medium
32,1,5,medium,low,medium,medium,medium
33,1,3,medium,medium,medium,medium,medium
34,1,3,medium,low,medium,medium,low
35,1,4,medium,medium,medium,medium,medium
36,1,5,medium,low,medium,medium,medium
37,1,5,medium,medium,medium,medium,medium
38,1,4,medium,medium,medium,medium,medium
39,1,4,medium,medium,medium,medium,medium
40,1,2,medium,medium,medium,medium,medium
41,1,1,medium,medium,medium,medium,low
42,1,3,medium,low,low,medium,low
43,1,3,medium,medium,medium,medium,medium
44,1,3,medium,low,low,medium,low
45,1,3,low,low,low,medium,low
46,1,4,medium,low,medium,medium,low
47,1,3,medium,medium,medium,medium,medium
48,1,5,medium,medium,medium,medium,medium
49,1,3,medium,medium,low,medium,low
50,1,1,medium,medium,medium,medium,low
51,1,4,medium,low,medium,medium,low
52,1,4,medium,low,medium,medium,low
53,1,4,medium,medium,medium,medium,medium
54,1,4,medium,medium,medium,medium,medium
55,1,4,medium,low,low,medium,low
56,1,4,medium,medium,medium,medium,medium
57,1,3,medium,medium,medium,medium,low
58,1,2,low,low,low,low,low
59,1,4,medium,low,medium,medium,low
60,1,2,medium,medium,medium,medium,low
61,1,3,medium,medium,medium,medium,medium
62,1,3,low,low,low,medium,low
63,1,4,low,low,low,medium,low
64,1,2,low,low,low,low,low
65,1,4,medium,medium,medium,medium,medium
66,1,4,medium,medium,medium,medium,medium
67,1,4,medium,medium,medium,medium,medium
68,1,4,medium,medium,medium,medium,medium
69,1,4,medium,medium,medium,medium,low
70,1,5,medium,low,medium,medium,medium
71,1,4,medium,medium,medium,medium,medium
72,1,5,medium,medium,medium,medium,medium
73,1,3,low,low,low,low,low
