essay_id,prompt_id,content_score,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10
1,1,4.0,low,low,low,low,low,low,low,low,low,low
2,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,low,low
3,1,3.0,low,low,low,low,low,low,low,low,low,low
4,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
5,1,4.0,medium,medium,medium,high,medium,medium,medium,medium,medium,medium
6,1,3.0,low,low,low,low,low,low,low,low,low,low
7,1,5.0,low,low,low,low,low,low,low,low,medium,low
8,1,6.0,medium,medium,medium,high,medium,medium,medium,medium,medium,low
9,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
10,1,3.0,low,low,low,low,low,low,low,low,low,low
11,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
12,1,4.0,low,low,low,low,low,low,low,low,low,low
13,1,2.0,low,medium,low,low,low,low,low,low,low,low
14,1,2.0,medium,medium,low,medium,low,low,low,low,medium,low
15,1,3.0,medium,medium,low,medium,medium,medium,medium,low,low,low
16,1,6.0,medium,medium,medium,high,medium,medium,medium,medium,medium,medium
17,1,4.0,medium,low,medium,medium,low,low,low,low,medium,low
18,1,3.0,low,medium,low,medium,low,low,low,low,medium,low
19,1,1.0,low,low,low,low,low,low,low,low,low,low
20,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
21,1,5.0,medium,low,medium,low,medium,low,low,low,medium,low
22,1,1.0,low,low,low,low,low,low,low,low,low,low
23,1,4.0,medium,medium,medium,low,medium,medium,medium,medium,medium,low
24,1,4.0,medium,medium,medium,medium,medium,low,low,low,medium,low
25,1,3.0,medium,medium,medium,medium,low,low,medium,medium,medium,low
26,1,3.0,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
27,1,1.0,low,low,low,low,low,low,low,low,low,low
28,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
29,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
30,1,4.0,medium,medium,medium,medium,medium,low,low,low,low,low
31,1,3.0,medium,medium,medium,low,medium,low,medium,low,medium,low
32,1,5.0,medium,low,medium,medium,medium,low,low,low,medium,low
33,1,4.0,medium,low,low,low,low,low,low,low,low,low
34,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
35,1,4.0,medium,low,medium,medium,low,medium,medium,low,medium,low
36,1,5.0,low,low,low,low,low,low,low,low,low,low
37,1,5.0,medium,medium,low,medium,medium,medium,medium,medium,medium,low
38,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
39,1,4.0,low,low,low,low,low,low,low,low,low,low
40,1,2.0,medium,medium,medium,medium,medium,medium,low,low,medium,low
41,1,1.0,low,medium,low,medium,medium,low,low,low,medium,low
42,1,3.0,low,low,low,low,low,low,low,low,low,low
43,1,2.0,medium,medium,medium,medium,medium,medium,medium,medium,low,low
44,1,3.0,low,low,low,low,low,low,low,low,low,low
45,1,3.0,medium,medium,low,medium,medium,medium,low,low,medium,low
46,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
47,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
48,1,6.0,medium,medium,medium,high,medium,medium,medium,medium,medium,medium
49,1,3.0,low,medium,low,medium,medium,low,low,low,low,low
50,1,1.0,medium,medium,low,medium,low,low,low,low,low,low
51,1,3.0,low,medium,low,medium,low,low,low,low,low,low
52,1,4.0,low,low,low,low,low,low,low,low,low,low
53,1,3.0,medium,medium,medium,high,medium,medium,medium,medium,medium,medium
54,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
55,1,4.0,medium,medium,low,medium,medium,low,low,low,low,low
56,1,5.0,medium,medium,medium,high,medium,medium,medium,medium,medium,medium
57,1,5.0,medium,medium,medium,medium,medium,low,low,low,medium,low
58,1,3.0,low,low,low,low,low,low,low,low,low,low
59,1,4.0,medium,low,medium,low,medium,medium,medium,medium,medium,low
60,1,2.0,medium,medium,low,low,low,low,low,low,medium,low
61,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
62,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
63,1,4.0,low,medium,low,medium,low,low,low,low,low,low
64,1,2.0,low,medium,low,medium,low,low,low,low,low,low
65,1,4.0,medium,medium,medium,medium,low,medium,medium,medium,medium,low
66,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
67,1,4.0,medium,medium,medium,medium,low,low,low,low,low,low
68,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
69,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
70,1,6.0,medium,medium,medium,high,medium,medium,medium,medium,medium,medium
71,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,low,low
72,1,6.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
73,1,3.0,low,low,low,low,low,low,low,low,low,low
74,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
75,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
76,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
77,1,5.0,medium,medium,medium,high,medium,medium,medium,medium,medium,medium
78,1,4.0,low,low,low,low,low,low,low,low,low,low
79,1,4.0,medium,medium,medium,medium,medium,medium,low,low,medium,low
80,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
81,1,3.0,medium,medium,low,medium,low,low,low,low,medium,low
82,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
83,1,3.0,medium,medium,medium,medium,medium,low,medium,low,medium,low
84,1,2.0,low,low,low,low,low,low,low,low,low,low
85,1,4.0,medium,medium,medium,medium,medium,low,low,low,medium,low
86,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
87,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
88,1,4.0,medium,medium,low,medium,medium,medium,low,low,medium,low
89,1,3.0,medium,medium,low,medium,medium,low,low,low,medium,low
90,1,3.0,low,medium,low,medium,medium,low,low,low,low,low
91,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,low,low
92,1,4.0,low,medium,low,low,low,low,low,low,medium,low
93,1,4.0,medium,medium,medium,high,medium,medium,medium,medium,medium,medium
94,1,3.0,low,low,low,low,low,low,low,low,low,low
95,1,5.0,medium,medium,low,medium,low,medium,low,low,medium,low
96,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
97,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
98,1,4.0,medium,medium,medium,medium,medium,low,medium,low,medium,low
99,1,3.0,low,low,low,low,low,low,low,low,low,low
100,1,2.0,low,medium,low,medium,low,low,low,low,low,low
101,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
102,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
103,1,4.0,medium,medium,low,medium,medium,medium,medium,medium,medium,low
104,1,6.0,low,medium,low,low,low,low,low,low,medium,low
105,1,5.0,medium,medium,low,low,low,low,low,low,medium,low
106,1,6.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium
107,1,5.0,medium,medium,medium,high,medium,medium,medium,medium,medium,medium
108,1,4.0,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
109,1,3.0,medium,low,medium,medium,medium,medium,low,medium,medium,low
110,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
111,1,5.0,medium,medium,medium,low,medium,low,low,low,medium,low
112,1,3.0,low,low,low,low,low,low,low,low,low,low
113,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,low,low
114,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
