essay_id,Grammar_score,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10
5661280443,4.0,medium,medium,medium,low,medium,medium,low,medium,medium,medium
0016926B079C,4.0,low,low,low,low,low,low,low,low,low,medium
0022683E9EA5,2.0,low,low,low,low,low,low,low,low,low,medium
00299B378633,3.0,low,low,low,low,low,low,low,low,low,low
003885A45F42,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0049B1DF5CCC,2.5,medium,medium,low,low,medium,medium,low,low,medium,medium
004AC288D833,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
008DDDDD8E8D,2.5,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
009BCCC61C2A,3.0,medium,medium,low,low,medium,medium,low,low,medium,medium
009F4E9310CB,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
00B21F9B726F,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
00BCADB373EF,3.0,medium,high,medium,medium,medium,medium,medium,medium,medium,medium
00D281524375,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
00ED2563D0B1,3.5,medium,medium,low,low,medium,medium,medium,medium,medium,medium
011AAA636F11,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
01350DF42AED,2.0,low,low,low,low,low,low,low,low,low,low
01405C3C569D,2.5,medium,medium,low,low,medium,low,low,low,medium,medium
01501F95B8B2,3.5,low,low,low,low,medium,low,low,low,low,low
01794F5F1423,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
017D2125A1DE,2.0,low,low,low,low,low,low,low,low,low,low
01911AC9674D,2.0,low,low,low,low,low,low,low,low,medium,medium
019BDC9DF7CD,2.5,low,low,low,low,low,low,low,low,low,medium
01A65BA4080E,4.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
01B3FDB3FD57,5.0,medium,high,medium,high,medium,medium,medium,medium,medium,high
01C53183305A,3.0,low,low,low,low,low,low,low,low,low,low
0230A077F5B6,2.0,low,low,low,low,low,low,low,low,low,low
025722D0AFB7,4.0,medium,high,medium,medium,medium,medium,medium,medium,high,medium
027CB6393714,4.0,low,medium,low,medium,low,medium,low,low,medium,medium
02B07248077F,2.5,low,low,low,low,low,low,low,low,low,medium
02B36EBD5C66,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0316F6288791,2.5,low,medium,low,low,medium,low,low,low,medium,medium
032EA4B76BF5,3.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0369AD4B5726,3.0,low,low,low,low,low,low,low,low,low,low
037C88B5B111,3.0,low,low,low,low,low,low,low,low,low,medium
037ED3EA2982,3.5,low,medium,medium,low,medium,medium,medium,medium,medium,medium
0381BBE47393,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
0383E4A36E46,4.0,medium,medium,medium,medium,medium,medium,medium,medium,high,medium
03844422EA75,1.5,low,low,low,low,low,low,low,low,low,low
038480498E5A,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
03A3B40D651B,3.5,medium,medium,low,low,medium,medium,low,low,medium,medium
03C9E7A15C42,2.0,low,low,low,low,low,low,low,low,low,low
03CB73341E0E,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
03CC97D3747E,4.5,low,medium,low,low,medium,medium,low,low,low,medium
03D00899C901,3.5,low,medium,low,low,low,low,low,low,low,medium
03F7CF142B70,3.5,medium,medium,low,low,medium,medium,low,medium,medium,medium
0420DDE0BABD,3.0,low,low,low,low,low,medium,low,low,low,medium
0435196871A1,2.5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
043B9F48FDC2,3.0,low,low,low,low,low,low,low,low,low,low
04491B61A791,2.0,low,low,low,low,low,low,low,low,low,low
