essay_id,Vocabulary_score,question1,question2,question3,question4,question5,question6
5661280443,3.5,medium,medium,medium,medium,medium,medium
0016926B079C,3.0,low,low,low,low,medium,low
0022683E9EA5,3.0,low,low,low,low,medium,low
00299B378633,3.0,low,low,low,low,low,low
003885A45F42,4.5,medium,medium,medium,medium,medium,medium
0049B1DF5CCC,3.0,medium,medium,medium,medium,medium,medium
004AC288D833,4.0,medium,medium,medium,medium,medium,medium
008DDDDD8E8D,2.5,medium,medium,medium,medium,medium,medium
009BCCC61C2A,3.5,medium,medium,medium,medium,medium,medium
009F4E9310CB,3.5,medium,medium,medium,medium,medium,medium
00B21F9B726F,3.5,medium,medium,medium,medium,medium,medium
00BCADB373EF,4.0,medium,medium,medium,medium,medium,medium
00D281524375,3.5,medium,medium,medium,medium,medium,medium
00ED2563D0B1,3.5,medium,medium,medium,medium,medium,medium
011AAA636F11,3.0,medium,medium,medium,medium,medium,medium
01350DF42AED,2.0,low,low,low,low,low,low
01405C3C569D,3.0,medium,medium,medium,medium,medium,medium
01501F95B8B2,3.0,low,low,low,low,medium,low
01794F5F1423,3.0,medium,medium,medium,medium,medium,medium
017D2125A1DE,3.0,low,low,low,low,low,low
01911AC9674D,2.5,low,low,low,low,medium,low
019BDC9DF7CD,3.0,low,low,medium,low,medium,low
01A65BA4080E,4.0,medium,medium,medium,medium,medium,medium
01B3FDB3FD57,5.0,medium,high,high,medium,medium,medium
01C53183305A,2.5,low,low,low,low,low,low
0230A077F5B6,2.5,low,low,low,low,low,low
025722D0AFB7,4.0,medium,medium,medium,medium,medium,medium
027CB6393714,2.5,low,low,low,low,medium,low
02B07248077F,3.0,low,low,low,low,medium,low
02B36EBD5C66,4.5,medium,medium,medium,medium,medium,medium
0316F6288791,3.0,medium,low,medium,low,medium,low
032EA4B76BF5,3.0,medium,medium,medium,medium,medium,medium
0369AD4B5726,3.5,low,low,low,low,low,low
037C88B5B111,3.5,medium,medium,medium,low,medium,low
037ED3EA2982,3.0,low,low,low,low,medium,low
0381BBE47393,3.5,medium,medium,medium,medium,medium,medium
0383E4A36E46,3.5,medium,medium,medium,medium,medium,medium
03844422EA75,2.0,low,low,low,low,low,low
038480498E5A,3.5,medium,medium,medium,medium,medium,medium
03A3B40D651B,3.5,medium,low,medium,low,medium,medium
03C9E7A15C42,2.5,low,low,low,low,low,low
03CB73341E0E,4.0,medium,medium,medium,medium,medium,medium
03CC97D3747E,4.5,low,medium,medium,low,medium,medium
03D00899C901,3.5,low,low,medium,low,medium,low
03F7CF142B70,3.5,medium,medium,medium,medium,medium,medium
0420DDE0BABD,3.0,medium,medium,medium,medium,medium,low
0435196871A1,2.5,medium,medium,medium,medium,medium,medium
043B9F48FDC2,3.0,low,low,low,low,low,low
04491B61A791,3.0,low,low,low,low,low,low
0465517EB6B7,3.0,medium,medium,medium,medium,medium,medium
04659704890C,3.0,medium,medium,medium,medium,medium,medium
046C6FB91CBA,3.0,medium,medium,medium,medium,medium,medium
046ECC91332C,3.5,medium,medium,medium,medium,medium,medium
04788D56AC58,3.0,medium,medium,medium,low,medium,medium
047BD3CB80B4,4.0,medium,medium,medium,medium,medium,medium
0484BCFC725D,3.0,medium,medium,medium,medium,medium,medium
04ACA7EB3994,4.0,medium,medium,medium,medium,medium,medium
04B3A4DD9460,3.0,low,low,low,low,medium,low
04B6FD84A066,5.0,medium,medium,medium,medium,medium,medium
04C2DA8069E7,2.5,low,low,low,low,low,low
04E1A9EE5BE1,2.0,low,low,low,low,low,low
04FA62C5F269,2.5,low,low,low,low,low,low
05021F4CA528,3.0,low,low,low,low,medium,low
0506BAC596A7,2.5,low,low,low,low,low,low
050BFA60C6AF,2.5,low,low,low,low,low,low
0514D25768A0,2.0,medium,medium,medium,low,medium,medium
051C3A22AEE0,3.0,low,low,low,low,low,low
053ACB9DFE74,3.0,medium,low,medium,medium,medium,low
053C05D2EE43,3.0,low,low,low,low,medium,low
0546517E6BAA,4.0,medium,low,medium,low,medium,low
0563F089C239,4.0,medium,medium,medium,medium,medium,medium
057E81E19740,3.0,low,low,low,low,low,low
057EE790CCEA,3.0,medium,medium,medium,medium,medium,medium
05903AA4540F,2.5,medium,medium,medium,medium,medium,medium
05ACEDBB9CB4,3.0,medium,medium,medium,medium,medium,medium
05CE0C0C5102,4.0,medium,medium,medium,medium,medium,medium
05E5653B781C,3.0,low,low,low,low,medium,low
05EC08C05019,4.0,medium,low,medium,low,medium,low
05F30981F3EB,3.5,medium,medium,medium,medium,medium,medium
05F54CEC774B,3.0,medium,medium,medium,medium,medium,medium
0607B495212F,3.0,medium,medium,medium,medium,medium,medium
061AF57CB05C,3.0,medium,medium,medium,medium,medium,medium
061D2BBACB45,4.0,low,low,low,low,medium,low
0623DD5A8E8F,3.0,low,low,low,low,medium,low
062AE7A344D3,3.0,low,low,low,low,low,low
063F809DE304,3.0,medium,high,high,medium,medium,medium
064423D845B1,2.5,medium,medium,medium,medium,medium,medium
06737289651D,3.0,low,low,low,low,medium,low
06C9FC1267BB,3.5,medium,medium,medium,medium,medium,medium
06E81109FE92,3.0,low,low,low,low,medium,low
06F368177993,3.0,low,low,low,low,low,low
06F5F6A09DC6,3.5,medium,medium,medium,medium,medium,medium
06FA8EF28227,2.5,medium,medium,medium,medium,medium,medium
070D792C65B7,4.0,medium,medium,medium,medium,medium,medium
074FA0221628,2.5,medium,medium,medium,medium,medium,medium
0756FC69B810,3.5,medium,medium,medium,medium,medium,medium
076262AA0CD5,4.5,low,low,low,low,low,low
0781753B768E,2.5,medium,medium,medium,medium,medium,medium
079FDB42E429,3.5,medium,medium,medium,medium,medium,medium
07A4DAFDE5B7,3.5,low,low,low,low,low,low
07C6BB6ADA38,4.0,medium,low,medium,low,medium,medium
07CE77EA56C5,5.0,high,high,high,high,medium,medium
07D5647B11AE,3.5,medium,medium,medium,medium,medium,medium
07DFD9A0986B,3.0,medium,low,medium,low,medium,medium
07E1633CC87A,3.5,medium,medium,medium,medium,medium,medium
07F3241EB3C6,3.0,medium,medium,medium,medium,medium,medium
0803CE11A14A,3.5,medium,medium,medium,medium,medium,medium
083E12F6B1D0,3.5,medium,low,low,low,medium,low
084763DC1C8C,3.0,medium,medium,medium,medium,medium,medium
085C8B43ADD6,3.0,medium,medium,medium,medium,medium,medium
08683001D359,2.5,low,low,low,low,low,low
0877E6A813FE,2.5,medium,medium,medium,low,medium,medium
08B25090A80C,4.5,medium,medium,medium,medium,medium,medium
08B72DCFD859,3.0,medium,medium,medium,medium,medium,medium
08D8232F2D78,3.5,low,low,medium,low,medium,low
08FAE6E0BDCC,3.0,low,low,low,low,medium,low
08FC0154E0EF,2.5,low,low,medium,low,medium,low
08FC47A564AE,4.0,medium,medium,medium,medium,medium,medium
092BBD374359,3.0,medium,medium,medium,medium,medium,medium
0943E322C195,4.0,medium,medium,medium,medium,medium,medium
094684D6DD30,3.0,low,low,low,low,low,low
095E153640F7,4.0,medium,medium,medium,medium,medium,medium
0985602832CD,3.0,low,low,low,low,medium,low
09A801B564F5,3.5,low,low,low,low,medium,low
09ADB0629CD0,3.5,medium,medium,medium,medium,medium,medium
09EC2F6B0D24,3.0,medium,medium,medium,medium,medium,medium
0A082DA0A890,3.0,medium,medium,medium,medium,medium,medium
0A1482CD6163,4.5,medium,medium,medium,medium,medium,medium
0A324290AFE7,3.5,medium,medium,medium,medium,medium,medium
0A3964629F69,2.0,low,low,medium,low,medium,low
0A4CDC286F8C,2.5,medium,medium,medium,medium,medium,medium
0A8B8F282E45,2.5,medium,medium,medium,medium,medium,medium
0AAD73A0AA91,3.5,medium,medium,medium,medium,medium,medium
0AB62AE1C13F,3.5,medium,medium,medium,medium,medium,medium
0ABD502C5BF9,3.0,medium,medium,medium,medium,medium,medium
0AC3C87DC51A,3.0,low,low,low,low,low,low
0ACB3F8B9DF8,3.0,medium,medium,medium,medium,medium,medium
0AD69388300B,3.5,medium,medium,medium,medium,medium,medium
0AF4F757FBEA,3.0,medium,medium,medium,low,medium,medium
0AFAD06336F3,3.0,low,low,medium,low,medium,low
0AFC8CE27321,4.5,medium,medium,medium,medium,medium,medium
0AFEC3CC53B5,3.0,low,low,low,low,low,low
0B00BC4CBABC,3.5,medium,high,medium,medium,medium,medium
0B1599B11FCF,3.0,low,low,low,low,low,low
0B3118834B72,3.0,medium,medium,medium,medium,medium,medium
0B478E81218B,3.5,low,low,low,low,low,low
0B6316123881,3.0,medium,medium,medium,medium,medium,medium
0B720B5EA0E9,3.0,medium,low,medium,low,medium,low
0B72A4344B3E,3.0,medium,medium,medium,medium,medium,medium
0B84A2B37B65,2.0,low,low,low,low,medium,low
0B953049AE1E,4.5,high,high,high,medium,medium,medium
0BB7AF7A448C,3.0,medium,medium,medium,medium,medium,medium
0BB9FAE6E27B,4.5,medium,medium,medium,medium,medium,medium
0BDADA3AFF77,3.0,medium,medium,medium,medium,medium,medium
0BEB8F7F5A64,3.5,medium,medium,medium,medium,medium,medium
0BF56A2681D3,4.0,medium,medium,medium,medium,medium,medium
0C1EDBE2EEC3,4.0,medium,medium,medium,medium,medium,medium
0C28481DFBB8,3.0,low,low,low,low,low,low
0C30A2A5D998,2.5,medium,medium,medium,medium,medium,medium
0C699C871AA5,3.5,low,low,medium,low,medium,low
0C7D385D812A,3.5,medium,medium,medium,medium,medium,medium
0C88A0C1602B,3.5,medium,medium,medium,medium,medium,medium
0C88E7BE611B,3.0,medium,medium,medium,medium,medium,medium
0C8D699DEE90,2.0,low,low,low,low,low,low
0C91926E2BC6,3.0,medium,medium,medium,medium,medium,medium
0CB1237268E3,3.0,medium,high,medium,high,medium,medium
0CCB18D0CAB7,3.0,low,low,low,low,low,low
0CFDDC1CF75A,2.5,low,low,low,low,medium,low
0D00750E249B,2.5,medium,low,low,low,medium,low
0D0CADFF33DF,4.0,medium,medium,medium,medium,medium,medium
