essay_id,prompt_id,sentence_fluency_score,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10
1,1,3,low,low,low,low,low,low,low,low,low,low
2,1,3,low,medium,medium,medium,medium,low,medium,low,medium,low
3,1,4,low,low,low,low,low,low,low,low,low,low
4,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
5,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6,1,3,low,low,low,low,low,low,low,low,low,low
7,1,5,low,medium,low,low,low,low,low,low,low,low
8,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
9,1,4,medium,medium,medium,medium,medium,low,medium,medium,medium,low
10,1,3,low,low,low,low,low,low,low,low,low,low
11,1,4,low,medium,medium,low,low,low,medium,low,low,low
12,1,3,low,medium,low,low,low,low,low,low,low,low
13,1,2,low,low,low,low,low,low,low,low,low,low
14,1,2,low,low,medium,medium,low,low,low,low,low,low
15,1,3,medium,medium,medium,medium,medium,low,low,medium,medium,low
16,1,6,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
17,1,3,low,low,low,medium,low,low,low,low,medium,low
18,1,4,low,low,low,low,low,low,low,low,medium,low
19,1,1,low,low,low,low,low,low,low,low,low,low
20,1,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
21,1,4,low,medium,low,medium,low,low,low,low,medium,low
22,1,1,low,low,low,low,low,low,low,low,low,low
23,1,4,medium,low,medium,medium,medium,low,medium,medium,medium,medium
24,1,4,medium,low,medium,medium,medium,medium,medium,medium,medium,low
25,1,4,medium,low,medium,medium,medium,low,medium,medium,medium,low
26,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
27,1,1,low,low,low,low,low,low,low,low,low,low
28,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
29,1,5,medium,low,medium,medium,medium,medium,medium,medium,medium,medium
30,1,4,medium,medium,medium,medium,medium,low,medium,medium,medium,low
31,1,4,medium,medium,medium,medium,low,low,medium,medium,medium,low
32,1,5,low,medium,low,medium,medium,low,medium,low,medium,low
33,1,3,low,low,low,low,low,low,low,low,low,low
34,1,3,low,medium,medium,medium,medium,medium,medium,medium,medium,medium
35,1,3,low,low,medium,medium,medium,low,medium,medium,medium,low
36,1,6,low,low,low,low,low,low,low,low,low,low
37,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
38,1,4,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
39,1,4,low,low,low,low,low,low,low,low,low,low
40,1,2,low,medium,medium,low,medium,low,low,medium,medium,low
41,1,1,low,low,medium,low,low,low,low,medium,medium,low
42,1,4,low,low,low,low,low,low,low,low,low,low
43,1,3,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
44,1,3,low,low,low,low,low,low,low,low,low,low
45,1,3,low,low,medium,medium,medium,low,medium,low,medium,medium
46,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
