essay_id,prompt_id,word_choice_score,question1,question2,question3,question4,question5,question6,question7,question8,question9
1,1,3,low,low,low,low,medium,low,low,low,low
2,1,4,low,low,low,low,low,low,low,low,low
3,1,3,low,low,low,low,low,low,low,low,low
4,1,5,high,low,high,low,high,low,high,medium,high
5,1,4,medium,medium,medium,low,high,medium,medium,medium,medium
6,1,3,low,low,low,low,low,low,low,low,low
7,1,4,high,low,low,low,low,low,low,medium,high
8,1,5,medium,low,low,low,high,low,low,medium,medium
9,1,3,medium,low,medium,low,high,medium,medium,medium,medium
10,1,3,low,low,low,low,low,low,low,low,low
11,1,5,high,low,high,high,high,low,low,medium,high
12,1,3,low,low,low,low,low,low,low,low,low
13,1,2,low,low,low,low,medium,low,low,medium,low
14,1,2,low,low,low,low,low,low,low,low,low
15,1,3,low,low,low,low,low,low,low,medium,low
16,1,6,high,low,high,medium,high,medium,high,high,high
17,1,3,medium,low,low,low,medium,low,low,medium,low
18,1,4,low,low,low,low,low,low,low,low,low
19,1,1,low,low,low,low,low,low,low,low,low
20,1,3,medium,low,medium,low,medium,medium,low,medium,low
21,1,4,medium,low,medium,low,medium,low,low,medium,medium
22,1,1,low,low,low,low,low,low,low,low,low
23,1,4,low,low,low,low,low,low,low,low,low
24,1,4,high,low,high,low,high,low,high,high,high
25,1,4,low,low,low,low,low,low,low,medium,low
26,1,3,medium,low,medium,low,medium,medium,medium,medium,medium
27,1,1,low,low,low,low,low,low,low,low,low
28,1,3,medium,low,medium,low,medium,low,medium,medium,medium
29,1,4,low,low,low,low,medium,low,low,low,low
30,1,3,medium,medium,medium,low,medium,medium,high,medium,medium
31,1,3,low,low,low,low,low,low,low,low,low
32,1,5,low,low,low,low,low,low,low,low,low
33,1,4,medium,medium,medium,low,medium,medium,medium,medium,medium
34,1,4,medium,low,low,low,medium,low,low,medium,low
35,1,3,medium,low,low,low,high,low,low,medium,low
36,1,6,high,low,high,low,high,low,high,high,high
37,1,5,medium,medium,medium,medium,high,medium,high,medium,medium
38,1,3,low,low,low,low,medium,low,low,low,low
39,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium
40,1,2,medium,low,low,low,medium,low,low,medium,low
41,1,1,medium,low,low,low,medium,low,low,medium,low
42,1,3,low,low,low,low,low,low,low,low,low
43,1,2,medium,low,low,low,medium,low,medium,medium,medium
44,1,3,low,low,low,low,low,low,low,low,low
45,1,3,low,low,low,low,low,low,low,low,low
46,1,4,low,low,low,low,low,low,low,low,low
47,1,3,medium,low,medium,low,medium,medium,medium,medium,medium
48,1,5,medium,medium,medium,medium,high,medium,medium,high,medium
49,1,3,low,low,low,low,low,low,low,low,low
50,1,1,medium,low,low,low,medium,low,low,medium,medium
51,1,3,low,low,low,low,low,low,low,low,low
52,1,3,low,low,low,low,low,low,low,low,low
53,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium
54,1,4,high,medium,medium,medium,high,medium,high,medium,medium
55,1,3,low,low,low,low,low,low,low,low,low
56,1,4,high,medium,high,low,high,medium,medium,medium,high
57,1,4,low,low,low,low,low,low,low,low,low
58,1,2,low,low,low,low,low,low,low,low,low
59,1,3,low,low,low,low,low,low,low,low,low
60,1,2,medium,low,low,low,medium,low,low,medium,low
61,1,3,low,low,low,low,medium,low,low,medium,low
62,1,3,low,low,low,low,low,low,low,low,low
63,1,3,low,low,low,low,medium,low,low,medium,low
64,1,2,low,low,low,low,low,low,low,low,low
65,1,4,medium,low,low,low,medium,low,low,medium,low
66,1,5,medium,low,medium,low,medium,low,low,medium,medium
67,1,4,low,low,low,low,medium,low,low,medium,low
68,1,4,medium,medium,medium,low,medium,medium,medium,medium,medium
69,1,3,medium,low,low,low,medium,low,low,medium,low
70,1,6,medium,low,medium,low,high,low,low,medium,medium
71,1,4,low,low,low,low,low,low,low,low,low
72,1,6,high,medium,medium,low,high,medium,high,medium,high
73,1,3,low,low,low,low,low,low,low,low,low
74,1,3,medium,medium,medium,low,medium,medium,medium,medium,medium
75,1,4,high,medium,medium,low,high,medium,medium,medium,medium
76,1,3,low,low,low,low,medium,low,low,low,low
77,1,4,low,low,low,low,high,low,low,low,low
78,1,4,low,low,low,low,low,low,low,low,low
79,1,4,low,low,low,low,low,low,low,low,low
80,1,3,low,low,low,low,low,low,low,low,low
81,1,3,medium,low,low,low,medium,low,low,medium,low
82,1,5,medium,low,medium,low,medium,low,medium,medium,medium
83,1,3,medium,medium,medium,low,medium,medium,medium,medium,medium
84,1,2,low,low,low,low,low,low,low,low,low
85,1,4,medium,medium,medium,low,medium,low,medium,medium,medium
86,1,5,medium,low,medium,low,high,medium,high,medium,high
87,1,4,medium,medium,medium,medium,medium,low,low,medium,medium
88,1,5,medium,low,low,low,medium,low,low,medium,medium
89,1,2,low,low,low,low,low,low,low,low,low
90,1,3,medium,low,medium,low,medium,low,low,medium,medium
91,1,3,low,low,low,low,medium,low,low,medium,low
92,1,4,low,low,low,low,low,low,low,low,low
93,1,4,high,medium,high,low,high,medium,high,high,high
94,1,4,low,low,low,low,low,low,low,low,low
95,1,5,medium,medium,medium,low,high,medium,medium,medium,medium
96,1,3,medium,low,low,low,medium,medium,low,medium,low
97,1,4,medium,medium,medium,medium,medium,medium,medium,medium,medium
98,1,5,low,low,low,low,low,low,low,low,low
99,1,3,low,low,low,low,low,low,low,low,low
100,1,2,low,low,low,low,low,low,low,low,low
101,1,4,medium,low,low,low,low,low,low,medium,low
102,1,5,low,low,low,low,low,low,low,medium,low
103,1,5,medium,medium,medium,low,medium,medium,medium,medium,medium
104,1,5,medium,low,low,low,medium,medium,low,medium,low
105,1,4,low,low,low,low,low,low,low,low,low
106,1,5,high,medium,high,medium,high,medium,high,high,high
107,1,4,medium,medium,medium,medium,high,medium,medium,medium,medium
108,1,3,medium,low,low,low,medium,low,medium,medium,low
109,1,4,medium,low,low,low,medium,low,low,medium,low
110,1,3,medium,medium,medium,low,medium,medium,medium,medium,medium
111,1,5,low,low,low,low,low,low,low,low,low
112,1,4,low,low,low,low,low,low,low,low,low
113,1,4,medium,low,medium,low,medium,medium,low,medium,medium
114,1,4,medium,low,low,low,medium,low,low,medium,low
115,1,3,low,low,low,low,low,low,low,low,low
116,1,2,medium,low,low,low,medium,low,low,medium,low
117,1,4,low,low,low,low,low,low,low,low,low
118,1,5,high,low,high,low,high,low,high,high,high
119,1,5,low,low,low,high,low,low,low,low,low
120,1,3,low,low,low,low,low,low,low,low,low
121,1,4,low,low,low,low,low,low,low,low,low
122,1,4,low,low,low,low,low,low,low,low,low
123,1,4,medium,low,medium,low,high,medium,medium,medium,medium
124,1,2,medium,low,low,low,medium,medium,low,medium,low
125,1,1,low,low,low,low,low,low,low,low,low
126,1,3,low,low,low,low,low,low,low,low,low
127,1,4,medium,low,medium,low,medium,low,low,medium,medium
128,1,5,medium,medium,medium,medium,medium,medium,medium,medium,medium
129,1,4,low,low,low,low,low,low,low,low,low
130,1,6,high,medium,high,low,high,medium,high,high,high
131,1,4,medium,low,low,low,medium,low,low,medium,medium
132,1,5,high,low,high,low,high,low,high,high,high
133,1,4,low,low,low,low,low,low,low,low,low
134,1,4,medium,low,medium,low,medium,medium,medium,medium,medium
135,1,3,low,low,low,low,low,low,low,medium,low
136,1,3,low,low,low,low,low,low,low,low,low
