essay_id,prompt_id,language_score,question1,question2,question3
5978,3,1,low,low,low
5979,3,2,medium,medium,medium
5980,3,2,medium,low,medium
5981,3,0,low,low,low
5982,3,1,low,low,low
5983,3,1,low,low,low
5984,3,1,medium,low,low
5985,3,0,low,low,low
5986,3,2,medium,medium,medium
5987,3,2,medium,medium,medium
5988,3,2,medium,medium,medium
5989,3,2,medium,medium,medium
5990,3,3,medium,medium,medium
5991,3,1,medium,medium,medium
5992,3,1,medium,medium,medium
5993,3,1,low,medium,medium
5994,3,1,low,medium,low
5995,3,3,medium,medium,medium
5996,3,2,medium,medium,medium
5997,3,2,medium,medium,medium
5998,3,2,medium,medium,medium
5999,3,0,low,low,low
6000,3,2,low,medium,medium
6001,3,0,low,low,low
6002,3,2,medium,medium,medium
6003,3,3,medium,medium,medium
6004,3,0,low,low,low
6005,3,1,medium,medium,medium
6006,3,2,medium,low,medium
6007,3,2,medium,medium,medium
6008,3,1,low,low,low
6010,3,2,medium,medium,medium
6011,3,0,low,low,low
6012,3,0,low,low,low
6013,3,1,medium,low,medium
6014,3,3,medium,medium,medium
6015,3,2,medium,medium,medium
6016,3,2,medium,medium,medium
6017,3,2,medium,medium,medium
6018,3,0,low,low,low
6019,3,1,medium,medium,medium
6020,3,1,medium,medium,medium
6021,3,2,medium,medium,medium
6022,3,1,medium,medium,medium
6023,3,2,medium,medium,medium
6024,3,1,medium,medium,medium
6025,3,1,low,low,low
6026,3,3,medium,medium,medium
6027,3,2,medium,medium,medium
6028,3,1,low,low,low
6029,3,1,low,low,low
6030,3,3,medium,medium,medium
6031,3,1,low,medium,low
6032,3,2,medium,medium,medium
6033,3,2,medium,medium,medium
6034,3,2,medium,medium,medium
6035,3,1,low,low,low
6036,3,1,low,medium,low
6037,3,1,medium,medium,medium
6038,3,1,low,low,low
6039,3,1,medium,low,low
6040,3,0,low,low,low
6041,3,0,medium,low,medium
6042,3,3,medium,medium,medium
6043,3,1,medium,medium,medium
6044,3,0,low,low,low
6045,3,1,low,medium,low
6046,3,2,medium,medium,medium
6047,3,2,medium,low,medium
6048,3,1,medium,medium,medium
6049,3,2,medium,medium,medium
6050,3,2,medium,medium,medium
6051,3,1,medium,medium,medium
6052,3,1,low,low,low
6053,3,0,low,low,low
6054,3,1,medium,medium,medium
6055,3,2,medium,medium,medium
6056,3,1,low,medium,low
6057,3,2,medium,medium,medium
6058,3,1,low,medium,low
6059,3,1,medium,low,low
6060,3,0,low,low,low
6061,3,2,low,medium,medium
6062,3,1,medium,medium,medium
6063,3,1,medium,medium,medium
6064,3,1,low,medium,low
6065,3,2,medium,medium,medium
6066,3,1,medium,low,medium
6067,3,1,medium,medium,medium
6068,3,2,medium,medium,medium
