essay_id,prompt_id,content_score,question1,question2,question3
1,1,4.0,medium,low,medium
2,1,4.0,medium,medium,medium
3,1,3.0,medium,low,medium
4,1,5.0,medium,medium,medium
5,1,4.0,medium,medium,medium
6,1,3.0,low,low,low
7,1,5.0,medium,medium,medium
8,1,6.0,medium,medium,medium
9,1,5.0,medium,medium,medium
10,1,3.0,medium,medium,medium
11,1,5.0,medium,medium,medium
12,1,4.0,medium,low,medium
13,1,2.0,medium,low,medium
14,1,2.0,low,low,low
15,1,3.0,medium,low,medium
16,1,6.0,medium,medium,medium
17,1,4.0,medium,medium,medium
18,1,3.0,medium,medium,medium
19,1,1.0,low,low,low
20,1,3.0,medium,low,medium
21,1,5.0,medium,medium,medium
22,1,1.0,low,low,low
23,1,4.0,medium,medium,medium
24,1,4.0,medium,medium,medium
25,1,3.0,medium,low,medium
26,1,3.0,medium,medium,medium
27,1,1.0,medium,low,medium
28,1,3.0,medium,medium,medium
29,1,4.0,medium,medium,medium
30,1,4.0,medium,medium,medium
31,1,3.0,medium,medium,medium
32,1,5.0,medium,medium,medium
33,1,4.0,medium,low,medium
34,1,3.0,medium,medium,medium
35,1,4.0,medium,medium,medium
36,1,5.0,medium,medium,medium
37,1,5.0,medium,medium,medium
38,1,3.0,medium,medium,medium
39,1,4.0,medium,medium,medium
40,1,2.0,medium,medium,medium
41,1,1.0,medium,low,low
42,1,3.0,medium,low,medium
43,1,2.0,medium,low,medium
44,1,3.0,medium,low,medium
45,1,3.0,low,low,low
46,1,4.0,medium,low,medium
47,1,4.0,medium,medium,medium
48,1,6.0,medium,medium,medium
49,1,3.0,medium,low,medium
50,1,1.0,medium,low,medium
51,1,3.0,medium,medium,medium
52,1,4.0,medium,low,medium
53,1,3.0,medium,medium,medium
54,1,4.0,medium,medium,medium
55,1,4.0,medium,low,medium
56,1,5.0,medium,medium,medium
57,1,5.0,medium,medium,medium
58,1,3.0,low,low,low
59,1,4.0,medium,medium,medium
60,1,2.0,medium,low,medium
61,1,4.0,medium,medium,medium
62,1,3.0,medium,low,low
63,1,4.0,medium,low,medium
64,1,2.0,low,low,low
65,1,4.0,medium,medium,medium
66,1,4.0,medium,medium,medium
67,1,4.0,medium,low,medium
68,1,4.0,medium,medium,medium
69,1,4.0,medium,low,medium
70,1,6.0,medium,medium,medium
71,1,4.0,medium,medium,medium
72,1,6.0,medium,medium,medium
73,1,3.0,medium,low,medium
74,1,3.0,medium,medium,medium
75,1,4.0,medium,medium,medium
76,1,3.0,medium,medium,medium
77,1,5.0,medium,medium,medium
78,1,4.0,medium,low,medium
79,1,4.0,medium,low,low
80,1,4.0,medium,medium,medium
81,1,3.0,medium,low,medium
82,1,5.0,medium,medium,medium
83,1,3.0,medium,medium,medium
84,1,2.0,low,low,low
85,1,4.0,medium,medium,medium
86,1,4.0,medium,medium,medium
87,1,4.0,medium,medium,medium
88,1,4.0,medium,medium,medium
89,1,3.0,low,low,low
90,1,3.0,medium,low,low
91,1,3.0,medium,low,medium
92,1,4.0,medium,medium,medium
93,1,4.0,high,medium,high
94,1,3.0,medium,low,medium
95,1,5.0,medium,medium,medium
96,1,4.0,medium,medium,medium
97,1,4.0,medium,medium,medium
98,1,4.0,medium,medium,medium
99,1,3.0,low,medium,low
100,1,2.0,low,low,low
101,1,5.0,medium,medium,medium
102,1,5.0,medium,low,medium
103,1,4.0,medium,medium,medium
104,1,6.0,medium,medium,medium
105,1,5.0,medium,medium,medium
106,1,6.0,medium,medium,medium
107,1,5.0,medium,medium,medium
108,1,4.0,medium,medium,medium
109,1,3.0,medium,medium,medium
110,1,3.0,medium,low,medium
111,1,5.0,medium,medium,medium
112,1,3.0,medium,low,medium
113,1,4.0,medium,medium,medium
114,1,5.0,medium,medium,medium
115,1,3.0,medium,low,medium
116,1,1.0,medium,low,medium
117,1,4.0,medium,medium,medium
118,1,5.0,medium,medium,medium
119,1,4.0,medium,medium,medium
120,1,3.0,medium,low,medium
121,1,4.0,medium,low,medium
122,1,5.0,medium,medium,medium
123,1,4.0,medium,medium,medium
124,1,2.0,medium,low,medium
125,1,2.0,low,low,low
126,1,3.0,medium,low,low
127,1,4.0,medium,medium,medium
128,1,4.0,medium,medium,medium
129,1,4.0,medium,medium,medium
130,1,5.0,medium,medium,medium
131,1,5.0,medium,medium,medium
132,1,6.0,medium,medium,medium
133,1,4.0,medium,low,low
134,1,4.0,medium,medium,medium
135,1,3.0,medium,medium,medium
136,1,3.0,medium,low,low
137,1,3.0,medium,medium,medium
138,1,3.0,medium,medium,medium
139,1,3.0,medium,low,medium
140,1,4.0,medium,medium,medium
141,1,5.0,medium,medium,medium
142,1,4.0,medium,medium,medium
143,1,3.0,medium,low,medium
144,1,4.0,medium,medium,medium
145,1,5.0,medium,medium,medium
146,1,2.0,low,low,low
147,1,5.0,medium,medium,medium
148,1,4.0,medium,low,medium
149,1,3.0,medium,low,low
150,1,4.0,medium,low,medium
151,1,3.0,medium,medium,medium
152,1,4.0,medium,low,medium
153,1,4.0,medium,medium,medium
154,1,5.0,medium,medium,medium
155,1,4.0,medium,medium,medium
156,1,4.0,medium,medium,medium
157,1,3.0,medium,medium,medium
158,1,5.0,medium,medium,medium
159,1,5.0,medium,medium,medium
160,1,4.0,medium,medium,medium
161,1,5.0,medium,medium,medium
162,1,5.0,medium,medium,medium
163,1,3.0,medium,low,low
164,1,4.0,medium,low,medium
165,1,3.0,medium,medium,medium
166,1,4.0,medium,medium,medium
167,1,3.0,medium,medium,medium
168,1,5.0,medium,medium,medium
169,1,3.0,medium,medium,medium
170,1,3.0,medium,low,medium
171,1,3.0,medium,low,medium
172,1,3.0,medium,low,medium
173,1,3.0,medium,medium,medium
174,1,3.0,medium,medium,medium
175,1,3.0,medium,low,medium
176,1,4.0,medium,medium,medium
177,1,3.0,medium,medium,medium
178,1,3.0,medium,low,medium
179,1,4.0,medium,medium,medium
180,1,4.0,medium,low,medium
181,1,5.0,medium,medium,medium
182,1,3.0,medium,low,medium
183,1,5.0,medium,medium,medium
184,1,3.0,medium,medium,medium
185,1,3.0,medium,medium,medium
186,1,4.0,medium,medium,medium
187,1,2.0,medium,low,medium
188,1,4.0,medium,medium,medium
189,1,2.0,low,low,low
190,1,6.0,medium,medium,medium
191,1,4.0,medium,medium,medium
192,1,4.0,medium,medium,medium
193,1,4.0,medium,medium,medium
194,1,5.0,medium,medium,medium
195,1,2.0,low,low,low
196,1,4.0,medium,medium,medium
197,1,5.0,medium,medium,medium
198,1,5.0,medium,medium,medium
199,1,4.0,medium,medium,medium
200,1,4.0,medium,medium,medium
201,1,6.0,medium,medium,medium
202,1,4.0,medium,medium,medium
203,1,4.0,medium,medium,medium
204,1,4.0,medium,low,medium
205,1,5.0,medium,medium,medium
206,1,5.0,medium,medium,medium
207,1,4.0,medium,low,medium
208,1,3.0,medium,medium,medium
209,1,2.0,low,low,low
210,1,4.0,medium,low,medium
211,1,3.0,medium,low,medium
212,1,3.0,medium,low,medium
213,1,3.0,medium,low,medium
214,1,4.0,medium,medium,medium
215,1,5.0,medium,medium,medium
216,1,4.0,medium,low,low
217,1,4.0,medium,medium,medium
218,1,4.0,medium,low,medium
219,1,5.0,medium,medium,medium
220,1,4.0,medium,medium,medium
221,1,3.0,medium,medium,medium
222,1,6.0,medium,medium,medium
223,1,4.0,medium,medium,medium
224,1,4.0,medium,medium,medium
225,1,5.0,medium,medium,medium
226,1,3.0,medium,low,medium
227,1,5.0,medium,medium,medium
228,1,3.0,medium,medium,medium
229,1,4.0,medium,medium,medium
230,1,5.0,medium,medium,medium
231,1,5.0,medium,medium,medium
232,1,5.0,medium,medium,medium
233,1,2.0,medium,low,medium
234,1,4.0,medium,medium,medium
235,1,3.0,medium,medium,medium
236,1,2.0,medium,low,medium
237,1,3.0,medium,low,low
238,1,4.0,medium,medium,medium
239,1,3.0,medium,medium,medium
240,1,3.0,medium,medium,medium
241,1,3.0,low,low,medium
242,1,4.0,medium,medium,medium
243,1,5.0,medium,medium,medium
244,1,3.0,medium,medium,medium
245,1,3.0,medium,medium,medium
246,1,5.0,medium,medium,medium
247,1,4.0,medium,medium,medium
248,1,4.0,medium,medium,medium
249,1,5.0,medium,medium,medium
250,1,4.0,medium,low,medium
251,1,6.0,medium,medium,medium
252,1,3.0,medium,low,medium
253,1,3.0,low,low,low
254,1,4.0,medium,medium,medium
255,1,4.0,medium,medium,medium
256,1,4.0,medium,low,medium
257,1,4.0,medium,medium,medium
258,1,6.0,high,medium,medium
259,1,5.0,medium,medium,medium
260,1,3.0,medium,low,medium
261,1,4.0,medium,medium,medium
262,1,3.0,medium,medium,medium
263,1,5.0,medium,medium,medium
264,1,5.0,medium,low,low
265,1,4.0,medium,medium,medium
266,1,5.0,medium,medium,medium
267,1,4.0,medium,medium,medium
268,1,3.0,medium,low,medium
269,1,3.0,medium,medium,medium
270,1,4.0,medium,medium,medium
271,1,4.0,medium,medium,medium
272,1,4.0,medium,medium,medium
273,1,3.0,medium,low,medium
274,1,4.0,medium,medium,medium
275,1,5.0,medium,medium,medium
276,1,3.0,medium,low,medium
277,1,3.0,medium,medium,medium
278,1,5.0,medium,medium,medium
279,1,5.0,medium,medium,medium
280,1,4.0,medium,medium,medium
281,1,2.0,medium,low,low
282,1,4.0,medium,medium,medium
283,1,3.0,medium,low,low
284,1,4.0,medium,medium,medium
285,1,4.0,medium,medium,medium
286,1,1.0,low,low,low
287,1,5.0,medium,medium,medium
288,1,4.0,medium,medium,medium
289,1,4.0,medium,medium,medium
290,1,5.0,medium,medium,medium
291,1,5.0,medium,medium,medium
292,1,6.0,medium,medium,medium
293,1,3.0,medium,low,low
294,1,4.0,medium,low,medium
295,1,4.0,medium,low,medium
296,1,4.0,medium,medium,medium
297,1,4.0,medium,medium,medium
298,1,4.0,medium,low,medium
299,1,4.0,medium,medium,medium
300,1,3.0,medium,low,low
301,1,5.0,medium,medium,medium
302,1,6.0,medium,medium,medium
303,1,4.0,medium,medium,medium
304,1,5.0,medium,medium,medium
305,1,4.0,medium,medium,medium
306,1,5.0,medium,medium,medium
307,1,4.0,medium,medium,medium
308,1,2.0,medium,low,low
309,1,3.0,medium,medium,medium
310,1,4.0,medium,medium,medium
311,1,4.0,medium,medium,medium
312,1,3.0,medium,low,low
314,1,3.0,medium,medium,medium
315,1,5.0,medium,medium,medium
316,1,4.0,medium,medium,medium
317,1,5.0,medium,medium,medium
318,1,3.0,medium,low,medium
319,1,3.0,medium,medium,medium
320,1,3.0,medium,low,medium
321,1,5.0,medium,medium,medium
322,1,4.0,medium,low,medium
323,1,4.0,medium,low,medium
324,1,5.0,medium,medium,medium
325,1,5.0,medium,medium,medium
326,1,5.0,medium,medium,medium
327,1,3.0,medium,medium,medium
328,1,3.0,medium,medium,medium
329,1,4.0,medium,low,medium
330,1,4.0,medium,medium,medium
331,1,4.0,medium,medium,medium
332,1,3.0,medium,low,medium
333,1,3.0,medium,medium,medium
334,1,4.0,medium,low,medium
335,1,3.0,medium,medium,medium
336,1,4.0,medium,medium,medium
337,1,4.0,medium,medium,medium
338,1,3.0,low,low,low
339,1,5.0,medium,medium,medium
340,1,5.0,medium,medium,medium
341,1,3.0,medium,medium,medium
342,1,5.0,medium,medium,medium
343,1,4.0,medium,low,medium
345,1,5.0,medium,medium,medium
346,1,6.0,medium,medium,medium
347,1,4.0,medium,medium,medium
348,1,5.0,medium,medium,medium
349,1,3.0,medium,low,medium
350,1,4.0,medium,low,medium
351,1,4.0,medium,medium,medium
352,1,2.0,low,low,low
353,1,2.0,low,low,low
354,1,3.0,medium,low,medium
355,1,3.0,medium,low,medium
356,1,5.0,medium,medium,medium
357,1,4.0,medium,low,medium
358,1,3.0,medium,medium,medium
359,1,1.0,medium,low,medium
360,1,4.0,medium,low,medium
361,1,5.0,medium,medium,medium
362,1,4.0,medium,low,medium
363,1,3.0,medium,low,medium
364,1,5.0,medium,medium,medium
365,1,4.0,medium,low,medium
366,1,3.0,medium,medium,medium
367,1,4.0,medium,medium,medium
368,1,4.0,medium,medium,medium
369,1,3.0,medium,medium,medium
370,1,6.0,medium,medium,medium
371,1,4.0,medium,low,medium
372,1,5.0,medium,medium,medium
373,1,4.0,medium,medium,medium
374,1,4.0,medium,medium,medium
375,1,1.0,low,low,low
376,1,4.0,medium,low,medium
377,1,4.0,medium,medium,medium
378,1,4.0,medium,medium,medium
379,1,4.0,medium,medium,medium
380,1,4.0,medium,medium,medium
381,1,4.0,medium,medium,medium
382,1,3.0,medium,medium,medium
383,1,4.0,medium,medium,medium
384,1,4.0,medium,low,medium
385,1,6.0,medium,medium,medium
386,1,4.0,medium,medium,medium
387,1,3.0,medium,medium,medium
388,1,3.0,medium,medium,medium
389,1,3.0,medium,medium,medium
390,1,5.0,medium,medium,medium
391,1,5.0,medium,medium,medium
392,1,3.0,medium,medium,medium
393,1,3.0,medium,low,medium
394,1,3.0,medium,low,medium
395,1,3.0,medium,low,low
396,1,2.0,low,low,low
397,1,4.0,medium,medium,medium
398,1,5.0,medium,medium,medium
399,1,5.0,medium,medium,medium
400,1,3.0,medium,low,medium
401,1,2.0,medium,low,medium
402,1,4.0,medium,medium,medium
403,1,4.0,medium,medium,medium
404,1,3.0,medium,medium,medium
405,1,4.0,medium,medium,medium
406,1,3.0,low,low,low
407,1,4.0,medium,medium,medium
408,1,3.0,medium,medium,medium
409,1,3.0,medium,low,medium
410,1,3.0,medium,medium,medium
411,1,6.0,medium,medium,medium
412,1,5.0,medium,medium,medium
413,1,4.0,medium,medium,medium
414,1,3.0,low,low,low
415,1,4.0,medium,medium,medium
416,1,3.0,low,low,low
417,1,4.0,low,low,low
