essay_id,prompt_id,organization_score,question1,question2,question3
1,1,3.0,low,low,low
2,1,4.0,low,low,low
3,1,3.0,low,low,low
4,1,4.0,low,low,low
5,1,3.0,medium,medium,medium
6,1,3.0,low,low,low
7,1,4.0,low,low,low
8,1,5.0,low,low,low
9,1,4.0,low,low,low
10,1,4.0,low,low,low
11,1,5.0,low,low,low
12,1,5.0,low,low,low
13,1,2.0,low,low,low
14,1,2.0,low,low,low
15,1,2.0,low,low,low
16,1,5.0,low,low,low
17,1,4.0,low,medium,medium
18,1,4.0,low,low,low
19,1,1.0,low,low,low
20,1,2.0,low,low,low
21,1,4.0,low,low,low
22,1,1.0,low,low,low
23,1,4.0,low,low,low
24,1,5.0,low,medium,medium
25,1,3.0,low,low,low
26,1,3.0,low,low,low
27,1,1.0,low,low,low
28,1,3.0,low,low,low
29,1,5.0,low,low,low
30,1,4.0,medium,medium,medium
31,1,3.0,low,low,low
32,1,4.0,low,low,low
33,1,3.0,low,low,low
34,1,3.0,low,low,low
35,1,4.0,low,low,low
36,1,5.0,low,medium,medium
37,1,5.0,medium,medium,medium
38,1,3.0,low,low,low
39,1,4.0,low,low,low
40,1,2.0,low,low,low
41,1,1.0,low,low,low
42,1,4.0,low,low,low
43,1,2.0,low,low,low
44,1,3.0,low,low,low
45,1,3.0,low,low,low
46,1,5.0,low,low,low
47,1,3.0,low,low,low
48,1,5.0,medium,medium,medium
49,1,4.0,low,low,low
50,1,2.0,low,low,low
51,1,4.0,low,low,low
52,1,4.0,low,low,low
53,1,4.0,low,low,low
54,1,4.0,medium,medium,medium
55,1,4.0,low,low,low
56,1,4.0,low,low,low
57,1,4.0,low,low,low
58,1,3.0,low,low,low
59,1,3.0,low,low,low
60,1,2.0,low,low,low
61,1,3.0,low,low,low
62,1,3.0,low,low,low
63,1,4.0,low,low,low
64,1,2.0,low,low,low
65,1,4.0,low,low,low
66,1,4.0,medium,medium,low
67,1,5.0,low,low,low
68,1,5.0,medium,medium,medium
69,1,3.0,low,low,low
70,1,5.0,low,low,low
71,1,4.0,low,low,low
72,1,6.0,medium,medium,medium
73,1,3.0,low,low,low
74,1,4.0,low,medium,medium
75,1,4.0,medium,medium,medium
76,1,3.0,low,low,low
77,1,5.0,low,medium,medium
78,1,4.0,low,low,low
79,1,4.0,low,low,low
80,1,4.0,low,low,low
81,1,4.0,low,low,low
82,1,5.0,medium,medium,medium
83,1,3.0,medium,medium,medium
84,1,2.0,low,low,low
