essay_id,prompt_id,conventions_score,question1,question2,question3,question4,question5,question6
1,1,3,low,low,low,low,low,high
2,1,4,low,low,low,low,low,high
3,1,4,low,low,low,low,low,high
4,1,4,low,low,low,low,low,high
5,1,4,medium,medium,low,medium,medium,high
6,1,3,low,low,low,low,low,high
7,1,5,low,low,low,low,low,high
8,1,4,low,low,low,low,low,high
9,1,4,low,low,low,low,low,high
10,1,3,low,low,low,low,low,high
11,1,5,low,low,low,low,low,high
12,1,4,low,low,low,low,low,high
13,1,2,low,low,low,low,low,high
14,1,2,low,low,low,low,low,high
15,1,3,low,low,low,low,low,high
16,1,5,low,low,low,medium,high,high
17,1,3,low,low,low,low,low,high
18,1,3,low,low,low,low,low,high
19,1,1,low,low,low,low,low,high
20,1,2,low,low,low,medium,medium,high
21,1,4,low,low,low,medium,medium,high
22,1,1,low,low,low,low,low,high
23,1,4,low,low,low,low,low,high
24,1,4,high,low,low,high,high,high
25,1,4,low,low,low,low,low,high
26,1,3,medium,medium,low,medium,medium,high
27,1,1,low,low,low,low,low,high
28,1,3,low,medium,low,medium,medium,high
29,1,5,low,low,low,low,low,high
30,1,4,medium,high,high,high,high,medium
31,1,3,low,low,low,low,low,high
32,1,5,low,low,low,low,low,high
33,1,3,medium,low,low,medium,medium,high
34,1,3,low,low,low,low,low,high
35,1,4,low,low,low,low,low,high
36,1,5,high,high,low,medium,high,high
37,1,5,medium,medium,low,medium,medium,high
38,1,4,low,low,low,low,low,high
39,1,4,medium,low,low,medium,medium,high
40,1,2,low,low,low,low,low,high
41,1,1,medium,medium,medium,medium,low,high
42,1,3,low,low,low,low,low,high
43,1,3,medium,medium,low,medium,medium,high
44,1,3,low,low,low,low,low,high
45,1,3,low,low,low,low,low,high
46,1,4,low,low,low,low,low,high
47,1,3,medium,low,low,medium,medium,high
48,1,5,low,low,low,medium,high,high
49,1,3,low,low,low,low,low,high
50,1,1,low,low,low,low,high,high
51,1,4,low,low,low,low,low,high
52,1,4,low,low,low,low,low,high
53,1,4,medium,medium,low,medium,medium,high
54,1,4,medium,medium,low,medium,high,high
55,1,4,low,low,low,low,low,high
56,1,4,high,high,high,high,high,high
57,1,3,low,low,low,low,low,high
58,1,2,low,low,low,low,low,high
59,1,4,low,low,low,low,low,high
60,1,2,low,low,low,medium,medium,high
61,1,3,low,low,low,medium,medium,high
62,1,3,low,low,low,low,low,high
63,1,4,low,low,low,low,low,high
64,1,2,low,low,low,low,low,high
65,1,4,low,low,low,low,low,high
66,1,4,low,low,low,medium,medium,high
67,1,4,low,low,low,low,low,high
68,1,4,medium,medium,low,medium,medium,high
69,1,4,low,low,low,medium,medium,high
70,1,5,low,low,low,low,low,high
71,1,4,low,low,low,low,low,high
72,1,5,high,high,low,medium,high,high
73,1,3,low,low,low,low,low,high
74,1,4,medium,medium,medium,medium,medium,medium
75,1,4,medium,high,high,medium,medium,high
76,1,3,low,low,low,low,low,high
77,1,4,low,low,low,low,low,high
78,1,4,low,low,low,low,low,high
79,1,4,low,low,low,low,low,high
80,1,3,low,low,low,low,low,high
81,1,3,medium,medium,low,medium,medium,high
82,1,4,medium,medium,low,medium,medium,high
83,1,2,medium,medium,medium,medium,medium,medium
84,1,2,low,low,low,low,low,high
85,1,4,medium,medium,low,medium,medium,high
86,1,4,low,low,low,medium,high,high
87,1,4,low,low,low,low,low,high
88,1,5,low,low,low,low,low,high
89,1,3,low,low,low,low,low,high
90,1,3,low,low,low,low,low,high
91,1,3,low,low,low,low,low,high
92,1,4,low,low,low,low,low,high
93,1,4,high,high,low,high,high,high
94,1,3,low,low,low,low,low,high
95,1,4,low,low,low,medium,medium,high
96,1,3,low,low,low,low,low,high
97,1,3,medium,medium,medium,medium,medium,high
98,1,4,low,low,low,low,low,high
99,1,3,low,low,low,low,low,high
100,1,2,low,low,low,low,low,high
101,1,4,low,low,low,low,low,high
102,1,5,low,low,low,low,low,high
103,1,5,low,low,low,medium,medium,high
104,1,5,low,low,low,medium,medium,high
105,1,4,low,low,low,low,low,high
106,1,5,medium,high,low,high,high,high
107,1,4,medium,high,low,medium,medium,high
108,1,3,low,low,low,low,low,high
109,1,4,low,low,low,low,low,high
110,1,4,medium,high,medium,medium,medium,medium
111,1,5,low,low,low,low,low,high
112,1,4,low,low,low,low,low,high
113,1,3,low,low,low,low,medium,high
114,1,5,low,medium,low,medium,medium,high
115,1,3,low,low,low,low,low,high
116,1,2,low,low,low,medium,low,high
117,1,4,low,low,low,low,low,high
118,1,5,low,high,low,high,high,high
119,1,4,low,low,low,low,low,high
120,1,3,low,low,low,low,low,high
121,1,4,low,low,low,low,low,high
122,1,4,low,low,low,low,low,high
123,1,4,medium,high,low,medium,high,high
