essay_id,prompt_id,organization_score,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13,question14
1,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
2,1,4.0,medium,medium,medium,medium,medium,medium,medium,low,low,medium,medium,medium,medium,medium
3,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
4,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
5,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6,1,3.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
7,1,4.0,low,low,low,medium,low,low,medium,low,low,medium,low,low,low,low
8,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
9,1,4.0,medium,low,low,medium,medium,medium,medium,medium,low,medium,low,low,medium,medium
10,1,4.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
11,1,5.0,medium,low,medium,medium,medium,low,medium,low,low,medium,medium,medium,medium,medium
12,1,5.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
13,1,2.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
14,1,2.0,medium,low,low,medium,low,low,medium,low,low,medium,medium,medium,medium,low
15,1,2.0,medium,low,low,medium,medium,low,medium,medium,low,medium,low,low,medium,medium
16,1,5.0,medium,low,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
17,1,4.0,low,low,low,medium,medium,low,medium,low,low,medium,low,medium,medium,medium
18,1,4.0,medium,low,low,low,medium,low,low,low,low,medium,low,low,medium,medium
19,1,1.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
20,1,2.0,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium
21,1,4.0,low,low,medium,medium,medium,low,medium,medium,low,medium,low,medium,medium,medium
22,1,1.0,low,low,low,low,low,low,low,low,low,low,low,low,low,low
23,1,4.0,medium,medium,medium,medium,medium,medium,medium,low,medium,medium,medium,medium,medium,medium
24,1,5.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
25,1,3.0,medium,low,medium,medium,medium,medium,medium,low,low,medium,medium,low,medium,medium
