essay_id,prompt_id,language_score,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10
5978,3,1,medium,medium,medium,medium,medium,low,medium,medium,low,low
5979,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
5980,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
5981,3,0,medium,low,low,medium,low,low,medium,low,medium,medium
5982,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
5983,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,low
5984,3,1,medium,medium,medium,medium,medium,medium,low,low,medium,medium
5985,3,0,medium,low,low,low,low,low,low,low,low,low
5986,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
5987,3,2,medium,medium,medium,medium,medium,low,medium,medium,medium,low
5988,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
5989,3,2,low,low,low,low,low,low,low,low,low,low
5990,3,3,medium,medium,medium,medium,medium,low,low,medium,medium,low
5991,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
5992,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
5993,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
5994,3,1,medium,medium,medium,medium,medium,medium,medium,medium,low,low
5995,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
5996,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
5997,3,2,medium,medium,medium,low,medium,low,medium,medium,medium,low
5998,3,2,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
5999,3,0,medium,low,low,medium,medium,low,low,low,low,low
6000,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6001,3,0,medium,medium,low,low,medium,low,medium,medium,low,low
6002,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6003,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6004,3,0,low,low,low,low,low,low,low,low,low,low
6005,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6006,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6007,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6008,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6010,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6011,3,0,medium,medium,medium,medium,medium,low,low,low,medium,low
6012,3,0,low,low,low,low,low,low,low,low,low,low
6013,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6014,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6015,3,2,medium,low,low,medium,medium,low,medium,low,medium,low
6016,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6017,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6018,3,0,medium,medium,medium,medium,medium,low,low,medium,medium,low
6019,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6020,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6021,3,2,medium,medium,medium,medium,medium,low,medium,medium,low,medium
6022,3,1,medium,medium,medium,medium,medium,low,medium,medium,low,medium
6023,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6024,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6025,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
6026,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6027,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6028,3,1,medium,low,low,medium,low,low,low,low,low,low
6029,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6030,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6031,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6032,3,2,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
6033,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6034,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6035,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6036,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6037,3,1,medium,medium,low,medium,medium,medium,medium,low,medium,low
6038,3,1,medium,low,low,low,low,low,low,low,low,low
6039,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6040,3,0,medium,medium,low,medium,medium,low,medium,medium,low,low
6041,3,0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6042,3,3,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6043,3,1,low,low,low,low,low,low,low,low,low,low
6044,3,0,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6045,3,1,medium,medium,medium,medium,low,medium,medium,medium,low,medium
6046,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6047,3,2,medium,low,low,medium,medium,low,medium,low,low,low
6048,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6049,3,2,medium,medium,medium,medium,medium,low,low,medium,low,low
6050,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6051,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6052,3,1,medium,low,low,low,low,low,low,low,low,low
6053,3,0,medium,medium,low,medium,medium,low,low,medium,low,low
6054,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,medium
6055,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6056,3,1,low,medium,low,medium,medium,low,low,low,low,low
6057,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6058,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6059,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6060,3,0,medium,medium,low,medium,medium,medium,medium,low,medium,low
6061,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6062,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6063,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6064,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6065,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6066,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6067,3,1,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6068,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6069,3,2,medium,medium,medium,medium,medium,medium,medium,low,medium,low
6070,3,1,low,low,low,medium,medium,low,medium,low,low,low
6071,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6072,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6073,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6074,3,2,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6075,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6076,3,2,medium,medium,low,medium,low,low,medium,low,medium,low
6077,3,1,medium,medium,medium,low,medium,low,medium,low,medium,low
6078,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6079,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6080,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6081,3,1,low,low,low,low,low,low,low,low,low,low
6082,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6083,3,0,medium,medium,medium,medium,medium,low,medium,medium,low,low
6084,3,2,medium,medium,low,low,medium,low,medium,low,medium,low
6085,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6086,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6087,3,1,medium,medium,medium,medium,medium,low,low,medium,medium,low
6088,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6089,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6090,3,2,medium,low,medium,low,medium,medium,medium,low,medium,low
6091,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6092,3,0,medium,medium,medium,medium,medium,low,low,medium,medium,low
6093,3,0,medium,medium,low,medium,medium,medium,low,medium,medium,low
6094,3,2,medium,low,low,low,low,low,low,low,low,low
6095,3,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6096,3,1,medium,medium,low,medium,medium,low,medium,low,medium,low
6097,3,0,medium,medium,low,medium,medium,low,low,low,low,low
6098,3,2,medium,medium,medium,medium,medium,low,medium,medium,medium,low
6099,3,0,medium,medium,low,low,medium,low,low,low,low,low
6100,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6101,3,1,medium,low,low,low,medium,low,medium,low,low,low
6102,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6103,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6104,3,0,medium,medium,low,medium,medium,low,low,low,low,low
6105,3,2,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6106,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
6107,3,2,medium,medium,medium,low,medium,low,medium,medium,medium,low
6108,3,1,medium,medium,low,medium,medium,low,low,medium,low,low
6109,3,1,medium,medium,medium,medium,medium,medium,medium,medium,medium,low
6110,3,2,medium,medium,medium,medium,medium,medium,medium,medium,low,medium
6111,3,1,medium,medium,low,medium,medium,low,low,low,low,low
6112,3,1,medium,medium,medium,medium,medium,medium,low,medium,medium,medium
