essay_id,prompt_id,word_choice_score,question1,question2,question3,question4,question5,question6,question7,question8
1,1,3,medium,low,low,low,low,medium,medium,medium
2,1,4,medium,medium,low,medium,medium,medium,medium,medium
3,1,3,medium,low,low,low,low,medium,medium,medium
4,1,5,medium,medium,medium,medium,low,medium,medium,medium
5,1,4,medium,medium,medium,medium,low,medium,medium,medium
6,1,3,low,low,low,low,low,low,medium,high
7,1,4,medium,medium,low,medium,medium,medium,medium,medium
8,1,5,medium,medium,low,medium,low,medium,medium,medium
9,1,3,medium,medium,low,medium,low,medium,medium,medium
10,1,3,medium,medium,low,low,low,medium,medium,medium
11,1,5,medium,medium,medium,medium,medium,medium,medium,medium
12,1,3,medium,low,low,low,low,low,high,high
13,1,2,low,low,low,low,low,low,medium,medium
14,1,2,low,low,low,low,low,low,medium,high
15,1,3,medium,medium,low,medium,low,medium,medium,medium
16,1,6,medium,medium,medium,medium,medium,medium,medium,medium
17,1,3,medium,medium,low,low,low,medium,medium,medium
18,1,4,medium,medium,low,low,low,medium,medium,medium
19,1,1,low,low,low,low,low,low,high,high
20,1,3,medium,medium,low,low,low,medium,medium,medium
21,1,4,medium,medium,low,medium,low,medium,medium,medium
22,1,1,low,low,low,low,low,low,medium,medium
23,1,4,medium,medium,low,medium,low,medium,medium,medium
24,1,4,medium,medium,medium,medium,medium,medium,medium,medium
25,1,4,medium,medium,low,low,low,medium,medium,medium
26,1,3,medium,medium,low,low,low,medium,high,medium
27,1,1,low,low,low,low,low,medium,medium,medium
28,1,3,medium,medium,low,medium,low,medium,medium,medium
29,1,4,medium,medium,low,low,low,medium,medium,medium
30,1,3,medium,medium,medium,medium,low,medium,medium,medium
31,1,3,medium,medium,low,medium,low,medium,medium,medium
32,1,5,medium,medium,low,medium,low,medium,medium,medium
33,1,4,medium,medium,low,medium,low,medium,medium,medium
34,1,4,medium,medium,low,low,low,medium,medium,medium
35,1,3,medium,medium,low,medium,low,medium,high,medium
36,1,6,medium,medium,medium,medium,medium,medium,medium,medium
37,1,5,medium,medium,medium,medium,low,medium,medium,medium
38,1,3,medium,medium,low,medium,low,medium,medium,medium
39,1,4,medium,medium,low,medium,medium,medium,medium,medium
40,1,2,medium,medium,low,low,low,medium,medium,medium
41,1,1,medium,low,low,low,low,medium,medium,medium
