essay_id,prompt_id,sentence_fluency_score,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10,question11,question12,question13
1,1,3,low,medium,medium,low,low,low,low,low,low,low,low,low,low
2,1,3,medium,medium,medium,low,low,low,low,low,low,low,low,low,low
3,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
4,1,4,low,high,high,low,low,low,high,low,low,low,low,low,low
5,1,4,medium,medium,medium,medium,medium,medium,medium,medium,low,low,medium,low,low
6,1,3,low,low,low,low,low,low,low,low,low,low,low,high,high
7,1,5,low,high,medium,low,low,low,high,low,low,low,low,low,low
8,1,5,medium,medium,medium,low,low,medium,medium,medium,low,low,low,low,low
9,1,4,medium,high,high,low,medium,medium,medium,medium,low,low,medium,low,low
10,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
11,1,4,medium,high,high,low,low,low,high,medium,low,low,low,high,high
12,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
13,1,2,medium,medium,medium,low,medium,medium,low,medium,low,low,medium,low,low
14,1,2,low,low,low,low,low,low,low,low,low,low,low,low,low
15,1,3,medium,medium,medium,low,medium,medium,low,medium,low,low,low,low,low
16,1,6,high,high,high,low,medium,medium,high,medium,low,low,high,low,low
17,1,3,low,medium,medium,low,low,low,medium,low,low,low,low,low,low
18,1,4,low,medium,low,low,low,low,low,low,low,low,low,low,low
19,1,1,low,low,low,low,low,low,low,low,low,high,low,high,high
20,1,2,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,medium,medium
21,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
22,1,1,low,low,low,low,low,low,low,low,low,high,low,high,high
23,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
24,1,4,high,high,high,high,high,high,high,high,low,low,high,low,low
25,1,4,medium,medium,medium,low,low,low,low,low,low,low,low,low,low
26,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
27,1,1,low,low,low,low,low,low,low,low,low,low,low,high,high
28,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,medium,medium
29,1,5,low,medium,medium,low,low,low,low,low,low,low,low,low,low
30,1,4,high,medium,high,medium,medium,medium,medium,medium,high,medium,medium,medium,medium
31,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
32,1,5,low,low,low,low,low,low,low,low,low,low,low,low,low
33,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
34,1,3,medium,medium,medium,low,medium,low,low,medium,low,low,low,low,low
35,1,3,medium,medium,low,low,low,low,low,low,low,low,low,low,low
36,1,6,high,high,high,low,low,high,high,high,low,low,high,low,low
37,1,5,high,high,medium,medium,medium,medium,high,medium,low,low,medium,low,medium
38,1,4,medium,medium,medium,low,low,low,low,low,low,low,low,low,low
39,1,4,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,low,low
40,1,2,medium,medium,medium,low,medium,low,low,medium,low,low,low,high,low
41,1,1,medium,medium,medium,low,medium,medium,low,medium,low,medium,medium,medium,medium
42,1,4,low,low,low,low,low,low,low,low,low,low,low,low,low
43,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium,low,medium,low,medium
44,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
45,1,3,low,low,low,low,low,low,low,low,low,low,low,high,low
46,1,5,medium,medium,medium,low,medium,low,low,low,low,low,low,low,low
47,1,3,medium,medium,medium,low,medium,medium,medium,medium,low,low,medium,medium,medium
48,1,6,high,high,high,low,medium,medium,high,medium,low,low,medium,low,high
49,1,3,low,low,low,low,low,low,low,low,low,low,low,low,low
50,1,1,high,medium,medium,low,medium,medium,low,medium,low,low,low,high,high
51,1,4,medium,medium,low,low,low,low,low,low,low,low,low,low,low
