essay_id,prompt_id,content_score,question1,question2,question3,question4,question5
1,1,4.0,medium,medium,low,medium,medium
2,1,4.0,high,medium,medium,medium,medium
3,1,3.0,low,low,low,low,low
4,1,5.0,high,medium,high,high,medium
5,1,4.0,high,medium,medium,high,medium
6,1,3.0,low,low,low,low,low
7,1,5.0,high,medium,high,high,medium
8,1,6.0,high,medium,low,medium,medium
9,1,5.0,high,medium,low,high,medium
10,1,3.0,low,low,low,low,low
11,1,5.0,high,medium,low,high,medium
12,1,4.0,low,low,low,low,low
13,1,2.0,medium,medium,low,medium,medium
14,1,2.0,low,low,low,low,low
15,1,3.0,high,medium,low,medium,medium
16,1,6.0,high,medium,high,high,medium
17,1,4.0,high,medium,low,medium,medium
18,1,3.0,medium,low,low,medium,medium
19,1,1.0,low,low,low,low,low
20,1,3.0,medium,medium,low,medium,medium
21,1,5.0,high,medium,medium,medium,medium
22,1,1.0,low,low,low,low,low
23,1,4.0,low,low,low,low,low
24,1,4.0,high,high,high,high,high
25,1,3.0,medium,medium,low,medium,medium
26,1,3.0,high,medium,medium,medium,medium
27,1,1.0,low,low,low,low,low
28,1,3.0,medium,medium,medium,medium,medium
29,1,4.0,high,medium,low,medium,medium
30,1,4.0,high,high,medium,medium,medium
31,1,3.0,high,low,low,high,low
32,1,5.0,high,low,low,low,low
33,1,4.0,high,medium,medium,medium,medium
34,1,3.0,high,medium,low,medium,medium
35,1,4.0,high,low,low,high,medium
36,1,5.0,high,high,high,high,high
37,1,5.0,high,high,medium,high,medium
38,1,3.0,high,medium,low,medium,medium
39,1,4.0,high,medium,medium,medium,medium
40,1,2.0,medium,medium,medium,medium,medium
41,1,1.0,medium,medium,low,medium,medium
42,1,3.0,low,low,low,low,low
43,1,2.0,medium,medium,low,medium,medium
44,1,3.0,low,low,low,low,low
45,1,3.0,low,low,low,low,low
46,1,4.0,medium,medium,low,medium,medium
47,1,4.0,high,medium,medium,medium,medium
48,1,6.0,high,medium,low,high,high
49,1,3.0,low,low,low,low,low
50,1,1.0,high,medium,low,high,medium
51,1,3.0,medium,medium,low,medium,medium
52,1,4.0,low,low,low,medium,low
53,1,3.0,high,medium,medium,medium,medium
54,1,4.0,high,high,high,high,medium
55,1,4.0,high,low,low,low,low
56,1,5.0,high,high,high,high,high
57,1,5.0,low,low,low,low,low
58,1,3.0,low,low,low,low,low
59,1,4.0,medium,medium,medium,medium,medium
60,1,2.0,high,medium,low,medium,medium
61,1,4.0,high,medium,low,high,medium
62,1,3.0,low,low,low,low,low
63,1,4.0,medium,medium,low,medium,medium
64,1,2.0,low,low,low,low,low
65,1,4.0,high,medium,low,medium,medium
66,1,4.0,high,medium,medium,medium,medium
67,1,4.0,medium,medium,low,medium,medium
68,1,4.0,medium,medium,medium,medium,medium
69,1,4.0,medium,medium,low,medium,medium
70,1,6.0,high,medium,medium,high,medium
71,1,4.0,high,medium,medium,medium,medium
72,1,6.0,high,high,high,high,high
73,1,3.0,low,low,low,low,low
74,1,3.0,high,medium,medium,medium,medium
75,1,4.0,high,high,medium,medium,medium
76,1,3.0,high,medium,medium,medium,medium
77,1,5.0,high,high,high,high,medium
78,1,4.0,low,low,low,low,low
79,1,4.0,low,low,low,low,low
80,1,4.0,low,low,low,low,low
81,1,3.0,medium,medium,medium,medium,medium
82,1,5.0,high,medium,medium,medium,medium
83,1,3.0,medium,medium,medium,medium,medium
84,1,2.0,medium,low,low,low,low
85,1,4.0,high,medium,low,medium,medium
86,1,4.0,high,high,high,high,medium
87,1,4.0,medium,medium,medium,medium,medium
88,1,4.0,high,medium,low,medium,medium
89,1,3.0,low,low,low,low,low
90,1,3.0,medium,medium,low,medium,medium
91,1,3.0,high,medium,low,medium,medium
92,1,4.0,high,medium,medium,medium,medium
93,1,4.0,high,high,high,high,high
94,1,3.0,low,low,low,low,low
95,1,5.0,high,medium,medium,high,medium
96,1,4.0,high,medium,low,high,medium
97,1,4.0,high,medium,medium,medium,medium
98,1,4.0,low,low,low,low,medium
99,1,3.0,low,low,low,low,low
100,1,2.0,low,low,low,low,low
101,1,5.0,high,medium,low,medium,medium
102,1,5.0,low,low,low,low,medium
103,1,4.0,high,medium,medium,medium,medium
104,1,6.0,high,medium,medium,high,medium
105,1,5.0,high,low,low,low,low
106,1,6.0,high,high,high,high,high
107,1,5.0,high,high,high,high,medium
108,1,4.0,medium,medium,medium,medium,medium
109,1,3.0,high,medium,low,medium,medium
110,1,3.0,medium,medium,medium,medium,medium
111,1,5.0,high,low,low,low,low
112,1,3.0,low,low,low,low,low
113,1,4.0,medium,medium,medium,medium,medium
114,1,5.0,high,medium,medium,medium,medium
115,1,3.0,low,low,low,low,low
116,1,1.0,low,medium,low,medium,medium
117,1,4.0,high,medium,low,medium,low
118,1,5.0,high,high,high,high,high
119,1,4.0,high,medium,low,low,medium
120,1,3.0,low,low,low,low,low
121,1,4.0,low,low,low,low,low
122,1,5.0,low,low,low,low,low
123,1,4.0,high,high,medium,high,medium
124,1,2.0,medium,medium,low,medium,medium
125,1,2.0,low,low,low,low,low
126,1,3.0,low,low,low,low,low
127,1,4.0,high,medium,low,medium,medium
128,1,4.0,high,medium,medium,medium,medium
129,1,4.0,low,low,low,low,low
130,1,5.0,high,high,high,high,medium
131,1,5.0,high,medium,low,medium,medium
132,1,6.0,high,high,high,high,high
133,1,4.0,low,low,low,low,low
134,1,4.0,high,medium,medium,high,medium
135,1,3.0,high,medium,low,medium,medium
136,1,3.0,low,low,low,low,low
137,1,3.0,high,medium,medium,medium,medium
138,1,3.0,medium,medium,low,medium,medium
139,1,3.0,medium,medium,low,medium,medium
140,1,4.0,high,high,medium,high,medium
141,1,5.0,high,high,high,high,high
142,1,4.0,high,low,low,low,medium
143,1,3.0,low,low,low,low,low
144,1,4.0,high,medium,medium,medium,medium
145,1,5.0,high,medium,high,high,medium
146,1,2.0,low,low,low,low,low
147,1,5.0,high,medium,low,high,medium
148,1,4.0,high,medium,medium,medium,medium
149,1,3.0,low,low,low,low,low
150,1,4.0,low,low,low,low,low
151,1,3.0,medium,medium,medium,medium,medium
152,1,4.0,high,medium,low,medium,medium
153,1,4.0,low,low,low,low,low
154,1,5.0,high,high,high,high,medium
155,1,4.0,low,low,low,low,low
156,1,4.0,medium,medium,medium,medium,medium
157,1,3.0,low,low,low,low,low
158,1,5.0,high,high,high,high,medium
159,1,5.0,high,low,low,medium,medium
160,1,4.0,medium,medium,low,medium,medium
161,1,5.0,high,medium,low,medium,medium
162,1,5.0,high,high,high,high,high
163,1,3.0,low,low,low,low,low
164,1,4.0,medium,medium,low,medium,medium
165,1,3.0,high,medium,medium,medium,medium
166,1,4.0,high,low,low,low,low
167,1,3.0,low,low,low,medium,low
168,1,5.0,high,medium,medium,medium,medium
169,1,3.0,high,high,medium,medium,medium
170,1,3.0,medium,medium,medium,medium,medium
171,1,3.0,medium,medium,low,medium,medium
172,1,3.0,low,medium,low,medium,medium
173,1,3.0,low,low,low,low,low
174,1,3.0,low,low,low,medium,low
175,1,3.0,low,low,low,low,low
176,1,4.0,low,low,low,low,low
177,1,3.0,high,medium,medium,medium,medium
178,1,3.0,low,low,low,low,low
179,1,4.0,high,high,low,high,medium
180,1,4.0,high,medium,low,medium,medium
181,1,5.0,high,high,high,high,high
182,1,3.0,medium,medium,low,medium,medium
183,1,5.0,high,medium,low,medium,medium
184,1,3.0,low,low,low,low,low
185,1,3.0,low,low,low,low,low
186,1,4.0,high,medium,low,medium,medium
187,1,2.0,medium,medium,low,medium,medium
188,1,4.0,high,medium,medium,medium,medium
189,1,2.0,low,low,low,low,low
190,1,6.0,high,medium,low,medium,medium
191,1,4.0,high,high,medium,medium,medium
192,1,4.0,high,medium,medium,medium,medium
193,1,4.0,high,medium,medium,medium,medium
194,1,5.0,high,low,low,high,medium
195,1,2.0,low,low,low,low,low
196,1,4.0,high,medium,medium,medium,medium
197,1,5.0,high,medium,high,high,medium
198,1,5.0,high,high,high,high,medium
199,1,4.0,low,low,low,low,low
200,1,4.0,high,medium,medium,medium,medium
201,1,6.0,medium,medium,medium,medium,medium
202,1,4.0,high,medium,low,medium,medium
203,1,4.0,medium,medium,medium,medium,medium
204,1,4.0,medium,low,low,medium,medium
205,1,5.0,low,low,low,low,low
206,1,5.0,high,medium,medium,medium,medium
207,1,4.0,high,medium,medium,medium,medium
208,1,3.0,medium,medium,medium,medium,medium
209,1,2.0,low,low,low,low,low
210,1,4.0,medium,medium,medium,medium,medium
211,1,3.0,medium,medium,medium,medium,medium
212,1,3.0,low,low,low,low,low
213,1,3.0,medium,medium,low,medium,medium
214,1,4.0,low,low,low,low,low
215,1,5.0,high,low,low,high,medium
216,1,4.0,medium,medium,medium,medium,medium
217,1,4.0,high,high,high,high,high
218,1,4.0,high,medium,low,medium,medium
219,1,5.0,high,medium,low,medium,medium
220,1,4.0,high,low,low,low,low
221,1,3.0,high,medium,low,medium,medium
222,1,6.0,high,medium,medium,medium,medium
223,1,4.0,low,low,low,low,low
224,1,4.0,high,low,low,medium,low
225,1,5.0,high,low,low,low,low
226,1,3.0,low,low,low,low,low
227,1,5.0,high,medium,medium,medium,medium
228,1,3.0,low,low,low,low,low
229,1,4.0,medium,medium,low,medium,medium
230,1,5.0,medium,low,low,low,medium
231,1,5.0,medium,medium,medium,medium,medium
232,1,5.0,high,high,high,high,medium
233,1,2.0,low,low,low,low,low
234,1,4.0,high,medium,medium,medium,medium
235,1,3.0,medium,medium,low,medium,medium
236,1,2.0,medium,medium,low,medium,low
237,1,3.0,low,low,low,low,low
238,1,4.0,medium,medium,medium,medium,medium
239,1,3.0,high,medium,low,medium,medium
240,1,3.0,medium,medium,medium,medium,medium
241,1,3.0,low,low,low,low,low
242,1,4.0,medium,medium,low,medium,medium
243,1,5.0,low,low,low,low,low
244,1,3.0,medium,low,low,medium,medium
245,1,3.0,high,medium,medium,medium,medium
246,1,5.0,high,high,high,high,high
247,1,4.0,high,medium,low,medium,medium
248,1,4.0,high,medium,medium,medium,medium
249,1,5.0,high,medium,low,medium,medium
250,1,4.0,low,low,low,low,low
251,1,6.0,high,high,high,high,medium
252,1,3.0,high,medium,low,medium,medium
253,1,3.0,low,low,low,low,low
254,1,4.0,low,low,low,low,low
255,1,4.0,high,medium,medium,medium,medium
256,1,4.0,high,medium,low,medium,medium
257,1,4.0,low,low,low,low,low
258,1,6.0,high,medium,low,medium,medium
259,1,5.0,low,low,low,low,low
260,1,3.0,medium,medium,low,medium,medium
261,1,4.0,low,low,low,medium,medium
262,1,3.0,medium,medium,medium,medium,medium
263,1,5.0,high,low,low,low,medium
264,1,5.0,low,low,low,low,low
265,1,4.0,medium,medium,medium,medium,medium
266,1,5.0,high,high,medium,high,medium
267,1,4.0,high,high,high,high,medium
268,1,3.0,high,medium,medium,medium,medium
269,1,3.0,low,low,low,low,medium
270,1,4.0,high,medium,medium,medium,medium
271,1,4.0,medium,medium,medium,medium,medium
272,1,4.0,high,medium,high,high,medium
273,1,3.0,low,low,low,low,low
274,1,4.0,high,medium,medium,medium,medium
275,1,5.0,low,low,low,low,low
276,1,3.0,low,low,low,low,low
277,1,3.0,high,medium,high,high,medium
278,1,5.0,high,high,medium,high,medium
279,1,5.0,high,high,medium,high,medium
280,1,4.0,high,medium,medium,high,medium
281,1,2.0,low,low,low,medium,low
282,1,4.0,high,medium,medium,medium,medium
283,1,3.0,medium,medium,low,medium,medium
284,1,4.0,high,medium,medium,medium,medium
285,1,4.0,high,medium,high,medium,medium
286,1,1.0,low,low,low,low,low
287,1,5.0,high,medium,medium,high,medium
288,1,4.0,high,medium,low,low,medium
289,1,4.0,low,medium,low,medium,medium
290,1,5.0,high,high,high,high,high
291,1,5.0,high,high,high,high,high
292,1,6.0,high,high,high,high,high
293,1,3.0,medium,medium,low,medium,medium
294,1,4.0,low,low,low,low,low
295,1,4.0,low,low,low,low,low
296,1,4.0,low,low,low,low,low
297,1,4.0,high,medium,medium,medium,medium
298,1,4.0,medium,medium,low,medium,medium
299,1,4.0,high,medium,medium,medium,medium
300,1,3.0,low,low,low,low,low
301,1,5.0,low,low,low,low,low
302,1,6.0,high,medium,high,high,medium
303,1,4.0,low,low,low,low,low
304,1,5.0,low,low,low,low,low
305,1,4.0,low,medium,low,medium,medium
306,1,5.0,medium,medium,medium,medium,medium
307,1,4.0,high,medium,low,medium,medium
308,1,2.0,low,low,low,low,low
309,1,3.0,low,low,low,low,low
310,1,4.0,high,high,medium,high,medium
311,1,4.0,high,low,low,medium,low
312,1,3.0,low,low,low,medium,low
314,1,3.0,low,low,low,low,low
315,1,5.0,high,high,high,high,high
316,1,4.0,high,high,high,high,medium
317,1,5.0,high,medium,medium,medium,medium
318,1,3.0,low,low,low,low,low
319,1,3.0,high,medium,high,high,medium
320,1,3.0,medium,medium,medium,medium,medium
321,1,5.0,high,medium,high,high,high
322,1,4.0,high,medium,medium,medium,medium
323,1,4.0,low,low,low,medium,low
324,1,5.0,high,medium,medium,medium,medium
325,1,5.0,high,medium,low,medium,medium
326,1,5.0,high,high,high,high,high
327,1,3.0,low,low,low,low,medium
328,1,3.0,high,medium,medium,medium,medium
329,1,4.0,medium,medium,low,medium,medium
330,1,4.0,low,low,low,low,low
331,1,4.0,high,medium,medium,medium,medium
332,1,3.0,high,medium,medium,medium,medium
333,1,3.0,low,low,low,low,medium
334,1,4.0,low,low,low,low,low
335,1,3.0,low,low,low,low,low
336,1,4.0,high,medium,medium,medium,medium
337,1,4.0,high,medium,medium,high,medium
338,1,3.0,low,low,low,low,low
339,1,5.0,high,medium,high,high,medium
340,1,5.0,medium,medium,medium,medium,medium
341,1,3.0,high,medium,low,medium,medium
342,1,5.0,high,high,high,high,medium
343,1,4.0,low,low,low,low,low
345,1,5.0,high,medium,medium,medium,medium
346,1,6.0,high,medium,low,medium,medium
347,1,4.0,high,medium,medium,medium,medium
348,1,5.0,medium,medium,low,medium,low
349,1,3.0,low,low,low,low,low
350,1,4.0,high,medium,low,medium,medium
351,1,4.0,high,high,high,high,medium
352,1,2.0,low,low,low,low,low
353,1,2.0,low,low,low,low,low
354,1,3.0,medium,medium,low,medium,low
355,1,3.0,low,low,low,low,medium
356,1,5.0,medium,medium,medium,medium,medium
357,1,4.0,low,low,low,low,low
358,1,3.0,medium,medium,medium,medium,medium
359,1,1.0,high,high,low,high,high
360,1,4.0,low,low,low,low,low
361,1,5.0,high,medium,low,high,medium
362,1,4.0,low,medium,low,low,medium
363,1,3.0,medium,medium,low,medium,medium
364,1,5.0,high,high,high,high,high
365,1,4.0,low,low,low,low,low
366,1,3.0,medium,low,low,low,low
367,1,4.0,high,medium,medium,medium,medium
368,1,4.0,high,medium,medium,high,medium
369,1,3.0,high,medium,low,medium,medium
370,1,6.0,high,high,high,high,high
371,1,4.0,low,low,low,medium,low
372,1,5.0,high,medium,medium,high,medium
373,1,4.0,medium,medium,medium,medium,medium
374,1,4.0,low,low,low,low,low
375,1,1.0,low,low,low,low,low
376,1,4.0,low,low,low,low,low
377,1,4.0,high,low,low,medium,medium
378,1,4.0,high,high,high,high,high
379,1,4.0,high,medium,medium,medium,medium
380,1,4.0,high,low,low,medium,medium
381,1,4.0,medium,medium,medium,medium,medium
382,1,3.0,high,medium,low,medium,medium
383,1,4.0,high,medium,medium,medium,medium
384,1,4.0,high,medium,low,medium,medium
385,1,6.0,high,high,high,high,high
386,1,4.0,medium,medium,medium,medium,medium
387,1,3.0,high,medium,medium,medium,medium
