essay_id,prompt_id,conventions_score,question1,question2,question3,question4,question5,question6,question7,question8,question9
1,1,3,low,low,low,low,low,low,low,low,low
2,1,4,low,low,low,low,low,low,low,low,low
3,1,4,low,low,low,low,low,low,low,low,low
4,1,4,low,low,low,low,low,high,high,low,low
5,1,4,medium,medium,medium,medium,medium,medium,medium,low,medium
6,1,3,low,low,low,low,low,low,low,low,low
7,1,5,low,low,low,low,low,high,high,low,low
8,1,4,low,medium,low,low,low,low,low,low,medium
9,1,4,low,low,low,low,medium,medium,low,low,medium
10,1,3,low,low,low,low,low,low,low,low,low
11,1,5,low,medium,low,low,low,high,high,low,low
12,1,4,low,low,low,low,low,low,low,low,low
13,1,2,medium,low,low,low,low,medium,low,low,low
14,1,2,low,low,low,low,low,low,low,low,low
15,1,3,medium,low,low,low,low,medium,low,low,medium
16,1,5,medium,medium,high,low,low,high,low,low,medium
17,1,3,medium,low,low,low,low,medium,low,low,medium
18,1,3,low,low,low,low,low,low,low,low,low
19,1,1,low,low,low,low,low,low,low,low,low
20,1,2,medium,low,low,low,low,medium,low,low,medium
21,1,4,medium,low,low,low,medium,medium,low,low,medium
22,1,1,low,low,low,low,low,low,low,low,low
23,1,4,low,low,low,low,low,low,low,low,low
24,1,4,high,low,high,high,low,high,high,low,medium
25,1,4,low,low,low,low,low,medium,low,low,low
26,1,3,medium,medium,medium,low,medium,medium,low,low,medium
27,1,1,low,low,low,low,low,low,low,low,low
28,1,3,medium,medium,medium,low,medium,medium,low,low,medium
29,1,5,low,low,low,low,low,medium,low,low,low
30,1,4,high,high,high,high,medium,high,high,medium,medium
31,1,3,low,low,low,low,low,low,low,low,low
32,1,5,low,low,low,low,low,low,low,low,low
33,1,3,medium,medium,medium,medium,medium,medium,medium,low,medium
34,1,3,medium,low,low,low,low,medium,low,low,low
35,1,4,low,medium,low,low,low,high,low,low,medium
36,1,5,high,high,high,high,high,high,high,high,high
37,1,5,medium,medium,medium,medium,medium,high,medium,low,medium
38,1,4,low,low,low,low,low,medium,low,low,low
39,1,4,medium,medium,low,low,medium,medium,medium,low,medium
40,1,2,medium,low,low,low,low,medium,low,low,low
41,1,1,medium,medium,medium,medium,medium,low,medium,low,medium
42,1,3,low,low,low,low,low,low,low,low,low
43,1,3,medium,medium,medium,medium,medium,medium,medium,low,medium
44,1,3,low,low,low,low,low,low,low,low,low
45,1,3,low,low,low,low,low,low,low,low,low
46,1,4,low,low,low,low,low,medium,low,low,low
47,1,3,medium,medium,medium,low,medium,medium,low,low,medium
48,1,5,medium,medium,low,low,low,high,low,low,medium
49,1,3,low,low,low,low,low,low,low,low,low
50,1,1,medium,low,low,low,low,medium,high,low,medium
51,1,4,low,low,low,low,low,low,low,low,low
52,1,4,low,low,low,low,low,low,low,low,low
53,1,4,medium,medium,low,low,medium,medium,medium,medium,medium
54,1,4,high,medium,high,medium,medium,high,medium,medium,medium
55,1,4,low,low,low,low,low,low,low,low,low
56,1,4,high,high,high,high,medium,high,high,low,high
57,1,3,low,low,low,low,low,low,low,low,low
58,1,2,low,low,low,low,low,low,low,low,low
59,1,4,low,low,low,low,low,low,low,low,low
60,1,2,medium,low,low,low,low,medium,low,low,medium
61,1,3,medium,medium,low,low,low,medium,low,low,medium
62,1,3,low,low,low,low,low,low,low,low,low
63,1,4,low,low,low,low,low,low,low,low,low
64,1,2,low,low,low,low,low,low,low,low,low
65,1,4,low,low,low,low,low,medium,low,low,low
66,1,4,medium,medium,low,low,low,medium,low,low,medium
67,1,4,medium,low,low,low,low,medium,low,low,medium
68,1,4,medium,medium,low,medium,medium,medium,medium,medium,medium
69,1,4,medium,medium,low,low,low,medium,low,low,medium
70,1,5,low,low,high,low,medium,high,high,medium,low
71,1,4,low,low,low,low,low,low,low,low,low
72,1,5,high,medium,high,high,high,high,high,medium,high
73,1,3,low,low,low,low,low,low,low,low,low
74,1,4,medium,medium,medium,medium,medium,medium,medium,low,medium
75,1,4,high,high,high,high,medium,medium,high,low,medium
76,1,3,low,low,low,low,low,medium,low,medium,low
77,1,4,low,low,low,low,low,high,low,low,low
78,1,4,low,low,low,low,low,low,low,low,low
79,1,4,low,low,low,low,low,low,low,low,low
80,1,3,low,low,low,low,low,low,low,low,low
81,1,3,medium,medium,medium,low,medium,medium,low,medium,medium
82,1,4,medium,medium,medium,medium,medium,medium,medium,low,medium
83,1,2,medium,medium,medium,medium,medium,medium,medium,low,medium
84,1,2,low,low,low,low,low,low,low,low,low
85,1,4,medium,medium,low,low,medium,medium,medium,low,medium
86,1,4,medium,low,low,low,high,high,high,low,medium
87,1,4,low,low,low,low,low,medium,low,low,low
88,1,5,low,medium,low,low,low,medium,low,low,low
89,1,3,low,low,low,low,low,low,low,low,low
90,1,3,medium,low,low,low,low,medium,low,low,medium
91,1,3,low,low,low,low,low,medium,low,low,low
92,1,4,low,low,low,low,low,low,low,low,low
93,1,4,high,high,high,high,high,high,high,high,high
94,1,3,low,low,low,low,low,low,low,low,low
95,1,4,medium,medium,low,low,medium,medium,low,low,medium
96,1,3,medium,low,low,low,low,low,low,low,medium
97,1,3,medium,medium,medium,medium,medium,medium,medium,medium,medium
98,1,4,low,low,low,low,low,low,low,low,low
99,1,3,low,low,low,low,low,low,low,low,low
100,1,2,low,low,low,low,low,low,low,low,low
101,1,4,low,medium,low,low,low,low,low,low,low
102,1,5,low,low,low,low,low,low,low,low,low
103,1,5,medium,medium,low,low,medium,medium,medium,low,medium
104,1,5,medium,medium,low,low,medium,high,low,low,medium
105,1,4,low,low,low,low,low,low,low,low,low
106,1,5,high,high,high,high,high,high,high,medium,medium
107,1,4,medium,medium,high,high,medium,high,medium,low,medium
108,1,3,low,medium,low,low,medium,medium,low,low,low
109,1,4,medium,low,low,low,low,medium,low,low,low
110,1,4,medium,medium,high,medium,medium,medium,medium,low,medium
111,1,5,low,low,low,low,low,low,low,low,low
112,1,4,low,low,low,low,low,low,low,low,low
113,1,3,medium,low,low,low,low,medium,low,low,low
114,1,5,medium,medium,high,low,medium,medium,low,low,medium
115,1,3,low,low,low,low,low,low,low,low,low
116,1,2,medium,medium,low,low,low,low,medium,low,medium
117,1,4,low,low,low,low,low,low,low,low,low
118,1,5,high,high,high,low,high,high,high,high,medium
119,1,4,low,low,low,low,low,low,low,low,low
120,1,3,low,low,low,low,low,low,low,low,low
121,1,4,low,low,low,low,low,low,low,low,low
122,1,4,low,low,low,low,low,low,low,low,low
123,1,4,high,high,high,medium,medium,high,low,low,medium
124,1,3,medium,medium,low,low,low,medium,low,low,medium
125,1,1,low,low,low,low,low,low,low,low,low
126,1,3,low,low,low,low,low,low,low,low,low
127,1,4,medium,medium,low,low,low,medium,low,low,low
128,1,4,medium,medium,medium,medium,medium,medium,high,low,medium
129,1,4,low,low,low,low,low,low,low,low,low
130,1,6,high,medium,high,high,high,high,high,low,high
131,1,5,low,low,low,low,low,medium,high,medium,low
132,1,5,high,low,low,low,low,high,high,low,high
133,1,4,low,low,low,low,low,low,low,low,low
134,1,4,medium,medium,low,low,medium,medium,low,low,medium
135,1,3,low,low,low,low,low,medium,low,low,low
136,1,3,low,low,low,low,low,low,low,low,low
