essay_id,prompt_id,prompt_adherence_score,question1,question2,question3
5978,3,0,low,medium,low
5979,3,3,medium,high,medium
5980,3,2,low,low,medium
5981,3,1,low,low,medium
5982,3,1,medium,medium,medium
5983,3,1,medium,medium,medium
5984,3,0,low,low,medium
5985,3,0,low,low,high
5986,3,2,medium,high,medium
5987,3,3,medium,medium,medium
5988,3,3,medium,medium,medium
5989,3,1,medium,medium,medium
5990,3,2,medium,medium,medium
5991,3,1,medium,medium,medium
5992,3,2,medium,medium,medium
5993,3,1,medium,medium,medium
5994,3,1,medium,medium,medium
5995,3,2,medium,high,medium
5996,3,2,medium,medium,medium
5997,3,2,medium,medium,medium
5998,3,2,medium,medium,low
5999,3,0,low,low,low
6000,3,2,medium,medium,medium
6001,3,1,medium,medium,medium
6002,3,2,medium,medium,medium
6003,3,3,medium,high,medium
6004,3,0,low,low,low
6005,3,1,medium,medium,medium
6006,3,2,medium,medium,medium
6007,3,3,medium,medium,medium
6008,3,1,medium,medium,medium
6010,3,2,medium,medium,medium
6011,3,0,low,low,low
6012,3,0,low,low,high
6013,3,1,medium,medium,low
6014,3,3,medium,medium,medium
6015,3,3,medium,medium,medium
6016,3,2,medium,medium,medium
6017,3,1,medium,medium,medium
6018,3,0,medium,low,medium
6019,3,1,medium,medium,medium
6020,3,1,medium,medium,medium
6021,3,2,medium,medium,medium
6022,3,2,medium,medium,medium
6023,3,3,medium,high,medium
6024,3,1,medium,medium,medium
6025,3,1,medium,medium,medium
6026,3,3,medium,medium,medium
6027,3,3,high,high,medium
6028,3,1,medium,medium,medium
6029,3,1,medium,medium,medium
6030,3,3,medium,high,medium
6031,3,2,medium,medium,medium
6032,3,2,medium,medium,medium
6033,3,2,medium,medium,medium
6034,3,2,medium,medium,medium
6035,3,1,low,low,medium
6036,3,2,medium,medium,medium
6037,3,2,medium,medium,medium
6038,3,1,low,low,high
6039,3,1,medium,medium,medium
6040,3,1,medium,medium,medium
6041,3,0,medium,medium,medium
6042,3,2,medium,medium,medium
6043,3,2,medium,medium,medium
6044,3,0,low,low,low
6045,3,2,medium,medium,medium
6046,3,2,medium,medium,medium
6047,3,2,medium,medium,low
6048,3,1,medium,medium,medium
6049,3,2,medium,medium,low
6050,3,3,high,high,medium
6051,3,2,medium,medium,medium
6052,3,1,medium,medium,medium
6053,3,0,medium,medium,medium
6054,3,2,medium,medium,low
6055,3,2,medium,medium,medium
6056,3,2,medium,medium,medium
6057,3,2,medium,medium,medium
6058,3,1,medium,medium,medium
6059,3,1,medium,medium,medium
6060,3,0,low,low,medium
6061,3,2,medium,medium,medium
6062,3,2,medium,medium,medium
6063,3,1,medium,medium,medium
6064,3,1,medium,medium,medium
6065,3,3,medium,medium,medium
6066,3,0,medium,medium,medium
6067,3,1,medium,medium,medium
6068,3,2,medium,medium,medium
6069,3,2,medium,medium,medium
6070,3,1,medium,medium,medium
6071,3,3,medium,high,low
6072,3,3,medium,medium,medium
6073,3,1,medium,high,medium
6074,3,1,medium,medium,low
6075,3,3,medium,medium,medium
6076,3,2,medium,medium,medium
6077,3,1,medium,medium,medium
6078,3,1,medium,medium,medium
6079,3,2,medium,high,low
6080,3,3,medium,high,medium
6081,3,1,medium,medium,medium
6082,3,0,medium,medium,medium
6083,3,0,medium,medium,low
6084,3,3,medium,medium,medium
6085,3,3,high,high,medium
6086,3,1,medium,medium,medium
6087,3,1,medium,medium,medium
6088,3,2,medium,high,medium
6089,3,2,medium,medium,medium
6090,3,2,medium,medium,medium
6091,3,2,medium,medium,medium
6092,3,1,medium,medium,medium
6093,3,0,low,medium,medium
6094,3,2,medium,medium,medium
6095,3,3,high,high,medium
6096,3,1,medium,medium,medium
6097,3,1,medium,medium,low
6098,3,2,medium,medium,medium
6099,3,0,low,low,medium
6100,3,2,medium,medium,medium
6101,3,1,low,low,medium
6102,3,2,low,low,medium
6103,3,3,medium,medium,medium
6104,3,0,low,low,high
6105,3,2,medium,medium,medium
6106,3,1,medium,high,low
6107,3,2,medium,medium,medium
6108,3,1,low,low,medium
6109,3,2,medium,medium,medium
6110,3,2,medium,medium,medium
6111,3,2,medium,medium,medium
6112,3,1,medium,medium,medium
6113,3,2,medium,medium,medium
6114,3,1,low,low,medium
6115,3,0,low,low,medium
6116,3,2,medium,medium,medium
6117,3,2,medium,medium,medium
6118,3,2,medium,medium,medium
6119,3,1,medium,medium,medium
6120,3,2,medium,medium,medium
6121,3,2,medium,medium,medium
6122,3,1,medium,medium,medium
6123,3,2,medium,medium,medium
6124,3,2,medium,medium,medium
6125,3,2,medium,medium,medium
6126,3,0,medium,medium,medium
6127,3,3,medium,high,medium
6128,3,3,medium,high,medium
6129,3,2,medium,medium,medium
6130,3,1,medium,medium,medium
6131,3,1,medium,medium,medium
6132,3,2,medium,medium,medium
6133,3,2,medium,medium,low
6134,3,2,medium,medium,medium
6135,3,1,medium,medium,medium
6136,3,0,medium,medium,medium
6137,3,2,medium,medium,medium
6138,3,3,medium,medium,medium
6139,3,2,medium,medium,medium
6140,3,0,medium,medium,medium
6141,3,1,medium,medium,medium
6142,3,2,medium,medium,medium
6143,3,1,medium,medium,medium
6144,3,1,low,low,medium
6145,3,2,medium,high,medium
6146,3,2,medium,medium,medium
6147,3,1,medium,medium,medium
6148,3,1,medium,medium,medium
6149,3,2,medium,medium,medium
6150,3,3,low,low,medium
6151,3,2,medium,medium,medium
6152,3,3,medium,medium,medium
6153,3,0,low,low,medium
6154,3,0,low,low,medium
6155,3,2,medium,medium,medium
6156,3,1,medium,medium,medium
6157,3,1,medium,high,medium
6158,3,2,medium,medium,medium
6159,3,1,medium,medium,medium
6160,3,2,medium,high,low
6161,3,1,medium,medium,medium
6162,3,1,medium,medium,medium
6163,3,0,medium,medium,low
6164,3,1,medium,medium,medium
6165,3,2,medium,medium,medium
6166,3,1,low,low,low
6167,3,1,medium,medium,low
6168,3,1,low,low,medium
6169,3,2,medium,high,medium
6170,3,2,medium,medium,medium
6171,3,3,medium,high,medium
6172,3,1,medium,medium,medium
6173,3,0,medium,medium,low
6174,3,1,medium,medium,medium
6175,3,0,medium,medium,medium
6176,3,0,low,low,medium
6177,3,1,medium,medium,medium
6178,3,1,medium,medium,medium
6179,3,1,medium,medium,low
6180,3,1,medium,medium,medium
6181,3,2,medium,medium,medium
6182,3,1,medium,medium,medium
6183,3,3,medium,high,medium
6184,3,2,medium,medium,low
6185,3,2,medium,medium,medium
6186,3,1,medium,medium,medium
6187,3,2,medium,medium,low
6188,3,0,low,low,low
6189,3,0,low,low,medium
6190,3,2,medium,medium,medium
6191,3,1,medium,medium,medium
6192,3,3,medium,high,medium
6193,3,2,medium,medium,medium
6194,3,3,medium,high,medium
6195,3,2,medium,high,medium
6196,3,0,medium,medium,medium
6197,3,1,medium,medium,medium
6198,3,1,medium,medium,medium
6199,3,1,low,medium,medium
6200,3,1,medium,medium,medium
6201,3,1,medium,medium,low
6202,3,0,medium,medium,medium
6203,3,1,medium,medium,medium
6204,3,2,medium,medium,medium
6205,3,1,medium,medium,low
6206,3,0,low,low,high
6207,3,0,low,low,low
6208,3,2,medium,medium,medium
