essay_id,prompt_id,content_score,question1,question2,question3,question4,question5,question6,question7,question8,question9,question10
1,1,4.0,medium,medium,medium,low,medium,medium,low,low,low,medium
2,1,4.0,medium,high,high,low,medium,medium,low,low,low,high
3,1,3.0,low,medium,low,low,low,low,low,low,low,low
4,1,5.0,high,high,high,low,high,high,high,high,low,high
5,1,4.0,high,high,high,low,high,high,high,high,medium,high
6,1,3.0,low,low,low,low,low,low,low,low,low,low
7,1,5.0,high,high,high,low,high,medium,high,high,low,high
8,1,6.0,medium,high,high,low,medium,high,high,low,low,high
9,1,5.0,high,high,high,low,medium,high,medium,high,low,high
10,1,3.0,low,low,low,low,low,low,low,low,low,low
11,1,5.0,high,high,high,low,high,high,high,low,low,high
12,1,4.0,low,low,low,low,low,low,low,low,low,low
13,1,2.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
14,1,2.0,low,low,low,low,low,low,low,low,low,low
15,1,3.0,medium,high,medium,low,low,medium,low,low,low,medium
16,1,6.0,high,high,high,low,high,high,high,high,low,high
17,1,4.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
18,1,3.0,low,medium,medium,low,low,medium,low,low,low,medium
19,1,1.0,low,low,low,low,low,low,low,low,low,low
20,1,3.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
21,1,5.0,medium,high,high,low,medium,medium,medium,high,low,high
22,1,1.0,low,low,low,low,low,low,low,low,low,low
23,1,4.0,low,medium,medium,low,low,low,low,low,low,low
24,1,4.0,high,high,high,low,high,high,high,high,high,high
25,1,3.0,medium,medium,medium,low,medium,medium,low,low,low,medium
26,1,3.0,medium,high,high,low,medium,medium,medium,medium,low,high
27,1,1.0,low,low,low,low,low,low,low,low,low,low
28,1,3.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
29,1,4.0,medium,medium,medium,low,medium,medium,medium,low,low,medium
30,1,4.0,high,high,high,medium,medium,high,medium,high,medium,high
31,1,3.0,low,high,high,low,low,high,low,low,low,high
32,1,5.0,low,high,high,low,low,low,low,low,low,high
33,1,4.0,medium,high,medium,low,medium,high,medium,high,medium,high
34,1,3.0,medium,medium,medium,low,medium,medium,medium,low,low,high
35,1,4.0,low,high,high,low,high,high,high,high,low,high
36,1,5.0,high,high,high,high,high,high,high,high,low,high
37,1,5.0,high,high,high,low,high,high,high,high,medium,high
38,1,3.0,medium,high,medium,low,low,medium,low,low,low,medium
39,1,4.0,medium,high,high,low,medium,medium,medium,high,medium,high
40,1,2.0,medium,medium,medium,low,medium,medium,medium,low,low,medium
41,1,1.0,medium,medium,low,low,low,medium,low,low,low,medium
42,1,3.0,low,low,low,low,low,low,low,low,low,low
43,1,2.0,medium,high,medium,low,medium,medium,medium,medium,low,medium
44,1,3.0,low,low,low,low,low,low,low,low,low,low
45,1,3.0,low,low,low,low,low,low,low,low,low,low
46,1,4.0,medium,medium,medium,low,medium,medium,medium,low,low,medium
47,1,4.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
48,1,6.0,high,high,high,low,high,high,medium,high,low,high
49,1,3.0,low,low,low,low,low,low,low,low,low,low
50,1,1.0,high,high,high,low,medium,high,low,high,low,high
51,1,3.0,medium,medium,high,low,medium,medium,medium,low,low,medium
52,1,4.0,low,medium,medium,low,low,medium,low,low,low,medium
53,1,3.0,medium,high,high,medium,medium,medium,medium,medium,medium,high
54,1,4.0,high,high,high,medium,high,high,high,high,high,high
55,1,4.0,low,medium,medium,low,low,medium,low,low,low,low
56,1,5.0,high,high,high,low,high,high,high,high,low,high
57,1,5.0,low,low,low,low,low,low,low,low,low,low
58,1,3.0,low,low,low,low,low,low,low,low,low,low
59,1,4.0,medium,medium,medium,low,medium,medium,low,low,low,medium
60,1,2.0,medium,high,medium,low,medium,medium,medium,low,low,medium
61,1,4.0,high,high,medium,low,medium,medium,low,low,low,high
62,1,3.0,low,low,low,low,low,low,low,low,low,low
63,1,4.0,medium,medium,medium,low,low,medium,low,low,low,medium
64,1,2.0,low,low,low,low,low,low,low,low,low,low
65,1,4.0,medium,medium,medium,low,medium,medium,low,low,low,medium
66,1,4.0,medium,medium,high,low,medium,medium,medium,high,low,medium
67,1,4.0,medium,medium,medium,low,medium,medium,low,low,low,medium
68,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
69,1,4.0,medium,medium,medium,low,medium,medium,low,low,low,medium
70,1,6.0,medium,high,high,medium,high,high,high,high,low,high
71,1,4.0,medium,medium,medium,low,medium,medium,medium,low,low,high
72,1,6.0,high,high,high,medium,high,high,high,high,high,high
73,1,3.0,low,low,low,low,low,low,low,low,low,low
74,1,3.0,high,high,high,low,medium,high,medium,medium,medium,high
75,1,4.0,high,high,high,medium,medium,high,medium,high,medium,high
76,1,3.0,medium,high,high,low,medium,medium,high,low,low,high
77,1,5.0,high,high,high,low,high,high,high,low,low,high
78,1,4.0,low,low,low,low,low,low,low,low,low,low
79,1,4.0,low,low,low,low,low,low,low,low,low,low
80,1,4.0,low,medium,low,low,low,medium,low,low,low,low
81,1,3.0,medium,medium,medium,low,medium,medium,medium,low,low,medium
82,1,5.0,medium,medium,medium,low,medium,medium,medium,high,low,high
83,1,3.0,medium,high,medium,medium,medium,medium,medium,high,medium,medium
84,1,2.0,low,medium,medium,low,low,low,low,low,low,medium
85,1,4.0,high,high,high,low,medium,medium,medium,high,medium,high
86,1,4.0,high,high,high,low,high,high,high,high,low,high
87,1,4.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
88,1,4.0,medium,high,high,low,medium,high,medium,high,low,high
89,1,3.0,low,low,low,low,low,low,low,low,low,low
90,1,3.0,medium,medium,medium,low,medium,medium,low,low,low,medium
91,1,3.0,medium,medium,medium,low,medium,medium,low,low,low,medium
92,1,4.0,medium,high,medium,low,medium,medium,low,low,low,high
93,1,4.0,high,high,high,high,high,high,high,high,high,high
94,1,3.0,low,low,low,low,low,low,low,low,low,low
95,1,5.0,high,high,high,low,high,high,high,high,medium,high
96,1,4.0,medium,high,high,low,medium,high,low,low,low,high
97,1,4.0,medium,high,high,medium,medium,medium,medium,high,medium,high
98,1,4.0,low,medium,medium,low,low,low,low,low,low,low
99,1,3.0,low,low,low,low,low,low,low,low,low,low
100,1,2.0,low,low,low,low,low,low,low,low,low,low
101,1,5.0,medium,high,high,low,medium,medium,high,low,low,high
102,1,5.0,low,medium,medium,low,low,medium,low,low,low,low
103,1,4.0,medium,high,high,low,medium,high,high,medium,medium,high
104,1,6.0,high,high,high,low,medium,high,high,high,low,high
105,1,5.0,low,high,high,low,low,low,low,low,low,high
106,1,6.0,high,high,high,medium,high,high,high,high,high,high
107,1,5.0,high,high,high,medium,high,high,high,high,high,high
108,1,4.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
109,1,3.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
110,1,3.0,high,high,medium,low,medium,medium,medium,high,medium,high
111,1,5.0,low,high,high,low,high,low,low,low,low,high
112,1,3.0,low,low,low,low,low,low,low,low,low,low
113,1,4.0,medium,medium,medium,low,medium,medium,medium,low,low,medium
114,1,5.0,medium,high,high,low,medium,medium,medium,medium,low,high
115,1,3.0,low,low,low,low,low,low,low,low,low,low
116,1,1.0,medium,medium,low,low,low,medium,low,low,low,medium
117,1,4.0,low,medium,medium,low,low,medium,low,low,low,medium
118,1,5.0,high,high,high,medium,high,high,high,high,high,high
119,1,4.0,high,high,high,low,low,medium,low,low,low,high
120,1,3.0,low,low,low,low,low,low,low,low,low,low
121,1,4.0,low,low,low,low,low,low,low,low,low,low
122,1,5.0,low,low,low,low,low,low,low,low,low,low
123,1,4.0,high,high,high,medium,high,high,high,high,low,high
124,1,2.0,medium,medium,medium,low,low,medium,low,low,low,medium
125,1,2.0,low,low,low,low,low,low,low,low,low,low
126,1,3.0,low,low,low,low,low,low,low,low,low,low
127,1,4.0,medium,high,medium,low,medium,medium,low,low,low,high
128,1,4.0,medium,high,high,low,medium,medium,high,high,medium,high
129,1,4.0,low,low,medium,low,low,low,low,low,low,low
130,1,5.0,high,high,high,medium,high,high,high,high,high,high
131,1,5.0,medium,high,medium,low,medium,medium,medium,low,low,high
132,1,6.0,high,high,high,low,high,high,high,high,low,high
133,1,4.0,low,low,low,low,low,low,low,low,low,low
134,1,4.0,high,high,high,medium,high,high,high,high,low,high
135,1,3.0,medium,medium,medium,low,medium,medium,medium,low,low,medium
136,1,3.0,low,low,low,low,low,low,low,low,low,low
137,1,3.0,medium,high,medium,low,medium,medium,medium,high,medium,medium
138,1,3.0,medium,medium,medium,low,low,medium,low,low,low,medium
139,1,3.0,medium,medium,medium,low,medium,medium,medium,high,medium,medium
140,1,4.0,high,high,high,medium,high,high,high,high,medium,high
141,1,5.0,high,high,high,low,high,high,high,high,medium,high
142,1,4.0,low,high,medium,low,medium,medium,low,high,low,high
143,1,3.0,low,low,low,low,low,low,low,low,low,low
144,1,4.0,medium,high,high,low,medium,high,medium,high,low,high
145,1,5.0,high,high,high,low,high,high,high,high,low,high
146,1,2.0,low,low,low,low,low,low,low,low,low,low
147,1,5.0,high,high,high,low,high,high,high,high,low,high
148,1,4.0,medium,high,medium,low,medium,medium,low,low,low,high
149,1,3.0,low,low,low,low,low,low,low,low,low,low
150,1,4.0,low,medium,medium,low,low,medium,low,low,low,medium
151,1,3.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
152,1,4.0,high,high,medium,low,medium,medium,medium,high,low,high
153,1,4.0,low,medium,low,low,low,medium,low,low,low,low
154,1,5.0,high,high,high,medium,high,high,high,high,medium,high
155,1,4.0,low,low,low,low,low,low,low,low,low,low
156,1,4.0,medium,medium,medium,medium,medium,medium,medium,high,medium,medium
157,1,3.0,low,low,low,low,low,low,low,low,low,low
158,1,5.0,high,high,high,medium,high,high,high,high,medium,high
159,1,5.0,medium,high,medium,low,medium,medium,low,low,low,high
160,1,4.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
161,1,5.0,medium,medium,medium,low,medium,medium,low,low,low,high
162,1,5.0,high,high,high,low,high,high,high,high,medium,high
163,1,3.0,low,low,low,low,low,low,low,low,low,low
164,1,4.0,medium,medium,medium,low,medium,medium,low,low,low,medium
165,1,3.0,medium,high,high,low,medium,medium,high,low,low,high
166,1,4.0,low,low,medium,low,medium,medium,low,low,low,low
167,1,3.0,low,low,medium,low,low,medium,low,low,low,low
168,1,5.0,medium,high,high,medium,medium,high,medium,medium,medium,high
169,1,3.0,high,high,medium,low,medium,medium,medium,high,medium,high
170,1,3.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
171,1,3.0,medium,medium,medium,low,medium,medium,low,low,low,medium
172,1,3.0,medium,medium,medium,low,low,medium,low,low,low,medium
173,1,3.0,low,medium,low,low,low,low,low,low,low,low
174,1,3.0,low,medium,medium,low,low,medium,low,low,low,medium
175,1,3.0,low,medium,low,low,low,low,low,low,low,low
176,1,4.0,low,low,low,low,low,low,low,low,low,low
177,1,3.0,medium,high,medium,low,medium,medium,medium,medium,medium,high
178,1,3.0,low,low,low,low,low,low,low,low,low,low
179,1,4.0,high,high,high,low,medium,high,medium,high,low,high
180,1,4.0,medium,medium,medium,low,medium,medium,medium,low,low,high
181,1,5.0,high,high,high,medium,high,high,high,high,high,high
182,1,3.0,medium,medium,medium,low,medium,medium,low,low,low,medium
183,1,5.0,medium,high,medium,low,medium,medium,medium,medium,low,high
184,1,3.0,low,low,low,low,low,low,low,low,low,low
185,1,3.0,low,low,medium,low,low,low,low,low,low,low
186,1,4.0,low,medium,medium,low,low,medium,low,low,low,medium
187,1,2.0,medium,medium,medium,low,medium,medium,low,low,low,medium
188,1,4.0,medium,medium,medium,low,medium,medium,medium,medium,low,high
189,1,2.0,low,low,low,low,low,low,low,low,low,low
190,1,6.0,medium,high,medium,low,medium,medium,medium,high,medium,high
191,1,4.0,high,high,high,low,medium,medium,medium,high,low,high
192,1,4.0,medium,high,high,low,medium,medium,low,low,low,high
193,1,4.0,medium,high,medium,low,medium,medium,medium,high,low,high
194,1,5.0,high,high,high,low,high,high,low,low,low,high
195,1,2.0,low,low,low,low,low,low,low,low,low,low
196,1,4.0,medium,high,medium,low,medium,medium,medium,medium,low,high
197,1,5.0,medium,high,high,low,high,high,high,high,medium,high
198,1,5.0,high,high,high,medium,high,high,high,low,low,high
199,1,4.0,low,low,low,low,low,low,low,low,low,low
200,1,4.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
201,1,6.0,medium,high,high,medium,medium,medium,high,high,medium,high
202,1,4.0,medium,medium,medium,low,low,medium,low,low,low,low
203,1,4.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
204,1,4.0,low,medium,medium,low,low,low,low,low,low,medium
205,1,5.0,low,low,low,low,low,low,low,low,low,low
206,1,5.0,medium,medium,high,low,medium,medium,medium,high,low,high
207,1,4.0,medium,high,high,low,medium,high,medium,high,low,high
208,1,3.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
209,1,2.0,low,medium,low,low,low,low,low,low,low,low
210,1,4.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
211,1,3.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
212,1,3.0,low,low,low,low,low,low,low,low,low,low
213,1,3.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
214,1,4.0,low,low,medium,low,low,low,low,low,low,low
215,1,5.0,high,high,high,low,high,medium,low,low,low,high
216,1,4.0,medium,medium,medium,low,low,medium,medium,low,low,medium
217,1,4.0,high,high,high,low,high,high,high,high,high,high
218,1,4.0,medium,medium,medium,low,low,medium,low,low,low,medium
219,1,5.0,medium,high,high,low,medium,medium,low,low,low,high
220,1,4.0,low,high,high,low,high,high,high,low,low,high
221,1,3.0,medium,medium,medium,low,medium,medium,medium,low,low,medium
222,1,6.0,medium,medium,medium,low,medium,medium,low,low,low,medium
223,1,4.0,low,low,medium,low,low,medium,low,low,low,low
224,1,4.0,low,high,medium,low,low,medium,low,low,low,high
225,1,5.0,low,low,low,low,low,low,low,low,low,low
226,1,3.0,low,low,low,low,low,low,low,low,low,low
227,1,5.0,medium,high,high,low,medium,medium,medium,medium,medium,high
228,1,3.0,low,low,low,low,low,low,low,low,low,low
229,1,4.0,medium,medium,medium,low,medium,medium,medium,low,low,medium
230,1,5.0,low,medium,medium,low,low,medium,low,low,low,low
231,1,5.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
232,1,5.0,medium,high,high,medium,high,high,high,high,medium,high
233,1,2.0,low,low,low,low,low,low,low,low,low,low
234,1,4.0,medium,high,high,low,medium,medium,high,high,medium,high
235,1,3.0,medium,medium,medium,low,low,medium,low,medium,low,medium
236,1,2.0,medium,medium,medium,low,low,medium,low,low,low,medium
237,1,3.0,low,low,low,low,low,low,low,low,low,low
238,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
239,1,3.0,medium,medium,medium,low,medium,medium,low,high,low,medium
240,1,3.0,medium,medium,medium,low,medium,medium,medium,low,low,medium
241,1,3.0,low,low,low,low,low,low,low,low,low,low
242,1,4.0,medium,medium,medium,medium,medium,medium,medium,low,low,medium
243,1,5.0,low,low,medium,low,low,low,low,low,low,low
244,1,3.0,medium,medium,medium,low,low,medium,low,low,low,medium
245,1,3.0,high,high,medium,low,medium,high,medium,high,medium,high
246,1,5.0,high,high,high,medium,high,high,high,high,high,high
247,1,4.0,medium,high,high,low,medium,medium,low,low,low,medium
248,1,4.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
249,1,5.0,medium,medium,medium,medium,medium,medium,low,low,low,medium
250,1,4.0,low,low,low,low,low,low,low,low,low,low
251,1,6.0,high,high,high,medium,high,high,high,high,high,high
252,1,3.0,medium,medium,medium,low,medium,medium,low,low,low,medium
253,1,3.0,low,low,low,low,low,low,low,low,low,low
254,1,4.0,low,low,low,low,low,low,low,low,low,low
255,1,4.0,medium,high,high,medium,medium,medium,medium,medium,low,high
256,1,4.0,medium,medium,medium,low,medium,medium,medium,low,low,medium
257,1,4.0,low,low,low,low,low,low,low,low,low,low
258,1,6.0,medium,high,medium,low,medium,medium,medium,medium,low,high
259,1,5.0,low,low,low,low,low,low,low,low,low,low
260,1,3.0,medium,medium,medium,low,low,medium,low,low,low,medium
261,1,4.0,medium,medium,medium,low,low,medium,low,low,low,medium
262,1,3.0,medium,medium,medium,low,medium,medium,medium,low,low,medium
263,1,5.0,low,high,high,low,low,medium,low,low,low,low
264,1,5.0,low,low,low,low,low,low,low,low,low,low
265,1,4.0,medium,medium,medium,medium,medium,medium,medium,medium,medium,medium
266,1,5.0,high,high,high,medium,medium,high,high,low,low,high
267,1,4.0,high,high,high,medium,high,high,high,high,high,high
268,1,3.0,medium,high,medium,low,medium,medium,medium,high,medium,high
269,1,3.0,low,medium,low,low,low,medium,low,low,low,low
270,1,4.0,high,high,high,low,medium,medium,medium,high,low,high
271,1,4.0,medium,medium,medium,low,medium,medium,medium,medium,low,medium
272,1,4.0,medium,high,high,low,high,high,high,high,low,high
273,1,3.0,low,low,low,low,low,low,low,low,low,low
274,1,4.0,low,medium,high,low,medium,high,low,low,low,high
275,1,5.0,low,high,low,low,low,low,low,low,low,low
276,1,3.0,low,low,low,low,low,low,low,low,low,low
277,1,3.0,high,high,high,low,high,high,high,high,medium,high
278,1,5.0,high,high,high,medium,high,high,high,high,medium,high
279,1,5.0,high,high,high,low,high,high,high,high,low,high
280,1,4.0,high,high,high,low,medium,high,high,high,medium,high
281,1,2.0,medium,medium,low,low,low,medium,low,low,low,medium
282,1,4.0,medium,high,high,low,medium,medium,medium,medium,medium,high
283,1,3.0,medium,medium,medium,low,low,medium,low,low,low,medium
284,1,4.0,medium,high,medium,low,medium,medium,medium,high,low,high
285,1,4.0,medium,high,high,low,medium,medium,medium,low,low,high
286,1,1.0,low,low,low,low,low,low,low,low,low,low
287,1,5.0,medium,high,high,low,high,medium,high,low,low,high
288,1,4.0,low,medium,low,low,low,low,low,low,low,low
289,1,4.0,medium,medium,medium,low,low,medium,low,low,low,low
