essay_id,prompt_id,sentence_fluency_score,question1,question2,question3,question4,question5
1,1,3,low,low,low,low,low
2,1,3,medium,medium,medium,medium,low
3,1,4,low,low,low,low,low
4,1,4,medium,medium,medium,medium,medium
5,1,4,medium,medium,medium,medium,medium
6,1,3,low,low,low,low,low
7,1,5,medium,medium,medium,medium,low
8,1,5,medium,medium,medium,medium,medium
9,1,4,medium,medium,medium,medium,low
10,1,3,medium,medium,medium,medium,low
11,1,4,medium,medium,medium,medium,low
12,1,3,low,low,medium,low,low
13,1,2,low,low,low,low,low
14,1,2,low,low,low,low,low
15,1,3,medium,medium,medium,medium,medium
16,1,6,medium,medium,medium,medium,medium
17,1,3,medium,low,medium,medium,low
18,1,4,medium,low,medium,medium,low
19,1,1,low,low,low,low,low
20,1,2,medium,low,medium,medium,low
21,1,4,medium,medium,medium,medium,medium
22,1,1,low,low,low,low,low
23,1,4,medium,medium,medium,medium,low
24,1,4,medium,medium,medium,medium,medium
25,1,4,medium,medium,medium,medium,low
26,1,4,medium,medium,medium,medium,low
27,1,1,low,low,low,low,low
28,1,4,medium,medium,medium,medium,medium
29,1,5,medium,medium,medium,medium,low
30,1,4,medium,medium,medium,medium,medium
31,1,4,medium,medium,medium,medium,medium
32,1,5,medium,medium,medium,medium,low
33,1,3,medium,medium,medium,medium,low
34,1,3,medium,medium,medium,medium,low
35,1,3,medium,low,medium,medium,low
36,1,6,medium,medium,medium,medium,medium
37,1,5,medium,medium,medium,medium,medium
38,1,4,medium,medium,medium,medium,medium
39,1,4,medium,medium,medium,medium,low
40,1,2,medium,medium,medium,medium,low
41,1,1,low,low,low,low,low
42,1,4,low,low,low,low,low
43,1,3,medium,low,medium,medium,low
44,1,3,low,low,low,low,low
45,1,3,low,low,low,low,low
46,1,5,low,low,medium,low,low
47,1,3,medium,medium,medium,medium,medium
48,1,6,medium,medium,medium,medium,medium
49,1,3,low,low,low,low,low
50,1,1,low,low,medium,low,low
51,1,4,medium,low,medium,medium,low
52,1,4,low,low,low,low,low
53,1,4,medium,medium,medium,medium,low
54,1,4,medium,medium,medium,medium,medium
55,1,4,low,low,low,low,low
56,1,5,medium,medium,medium,medium,medium
57,1,4,low,medium,medium,medium,low
58,1,2,low,low,low,low,low
59,1,4,medium,medium,medium,medium,low
60,1,2,low,low,low,low,low
61,1,3,medium,medium,medium,medium,medium
62,1,3,low,low,low,low,low
63,1,3,low,low,low,low,low
64,1,2,low,low,low,low,low
65,1,4,medium,low,medium,medium,low
66,1,5,medium,medium,medium,medium,medium
67,1,4,medium,low,medium,medium,low
68,1,4,medium,medium,medium,medium,medium
69,1,4,medium,low,medium,medium,low
70,1,6,medium,medium,medium,medium,low
71,1,4,medium,medium,medium,medium,low
72,1,5,medium,medium,medium,medium,medium
73,1,3,low,low,low,low,low
74,1,3,medium,medium,medium,medium,medium
75,1,4,medium,medium,medium,medium,medium
76,1,3,medium,low,medium,medium,low
77,1,4,medium,medium,medium,medium,medium
78,1,4,low,low,low,low,low
79,1,4,low,low,low,low,low
80,1,4,medium,medium,medium,medium,low
81,1,3,medium,low,medium,medium,low
82,1,5,medium,medium,medium,medium,medium
83,1,3,medium,medium,medium,medium,medium
84,1,2,low,low,low,low,low
85,1,4,medium,medium,medium,medium,low
86,1,5,medium,medium,medium,medium,medium
87,1,4,medium,medium,medium,medium,low
88,1,5,medium,medium,medium,medium,medium
89,1,3,low,low,low,low,low
90,1,3,low,low,low,low,low
91,1,3,medium,low,medium,medium,low
92,1,4,medium,medium,medium,medium,medium
93,1,4,medium,medium,medium,medium,medium
94,1,4,low,low,low,low,low
95,1,5,medium,medium,medium,medium,low
96,1,3,medium,medium,medium,medium,low
97,1,3,medium,medium,medium,medium,medium
98,1,5,medium,medium,medium,medium,medium
99,1,3,low,low,low,low,low
100,1,2,low,low,low,low,low
101,1,4,medium,medium,medium,medium,low
102,1,5,medium,low,medium,medium,low
103,1,5,medium,medium,medium,medium,low
104,1,6,medium,low,medium,medium,low
105,1,4,low,low,low,medium,low
106,1,5,medium,medium,medium,medium,medium
107,1,5,medium,medium,medium,medium,medium
108,1,3,low,low,medium,medium,low
109,1,4,medium,medium,medium,medium,low
110,1,4,medium,medium,medium,medium,medium
111,1,5,medium,medium,medium,medium,low
112,1,4,low,low,low,low,low
113,1,3,medium,medium,medium,medium,medium
114,1,5,medium,medium,medium,medium,medium
115,1,3,low,low,low,low,low
116,1,2,low,low,low,low,low
117,1,5,medium,medium,medium,medium,low
118,1,5,medium,medium,medium,medium,low
119,1,5,medium,medium,medium,medium,medium
120,1,3,low,low,medium,medium,low
121,1,4,low,low,low,low,low
122,1,5,medium,low,medium,medium,low
123,1,4,medium,medium,medium,medium,medium
124,1,2,medium,low,medium,medium,low
125,1,1,low,low,low,low,low
126,1,3,low,low,low,low,low
127,1,4,medium,low,medium,medium,low
128,1,4,medium,medium,medium,medium,low
129,1,4,medium,low,medium,medium,low
130,1,6,medium,medium,medium,medium,medium
131,1,5,medium,medium,medium,medium,medium
132,1,5,medium,medium,medium,medium,low
133,1,4,low,low,low,low,low
134,1,4,medium,medium,medium,medium,low
135,1,3,medium,low,medium,medium,low
136,1,3,low,low,low,low,low
137,1,3,medium,medium,medium,medium,medium
138,1,4,medium,medium,medium,medium,low
139,1,4,medium,low,medium,medium,medium
140,1,5,medium,medium,medium,medium,medium
141,1,4,medium,medium,medium,medium,medium
142,1,4,low,low,medium,low,low
143,1,2,low,low,medium,low,low
144,1,3,medium,medium,medium,medium,medium
145,1,5,medium,medium,medium,medium,low
146,1,2,low,low,low,low,low
147,1,5,medium,medium,medium,medium,low
148,1,3,medium,low,medium,medium,low
149,1,3,low,low,low,low,low
150,1,4,medium,low,medium,medium,low
151,1,3,medium,medium,medium,medium,medium
152,1,4,medium,low,medium,medium,low
153,1,5,medium,medium,medium,medium,low
154,1,5,medium,medium,medium,medium,medium
155,1,4,medium,low,medium,medium,low
156,1,4,medium,medium,medium,medium,medium
157,1,3,low,low,medium,medium,low
158,1,5,medium,medium,medium,medium,medium
159,1,5,medium,medium,medium,medium,medium
160,1,4,medium,medium,medium,medium,medium
161,1,4,medium,low,medium,medium,low
162,1,6,medium,medium,medium,medium,medium
163,1,3,low,low,low,low,low
164,1,4,medium,low,medium,medium,low
165,1,3,medium,medium,medium,medium,low
166,1,3,medium,medium,medium,medium,low
167,1,3,medium,medium,medium,medium,low
168,1,5,medium,medium,medium,medium,medium
169,1,4,medium,medium,medium,medium,medium
170,1,4,medium,low,medium,medium,low
171,1,3,low,low,low,low,low
172,1,3,medium,low,medium,medium,low
173,1,3,low,low,medium,medium,low
174,1,3,medium,low,medium,medium,low
175,1,3,low,low,low,low,low
176,1,4,medium,medium,medium,medium,low
177,1,3,medium,medium,medium,medium,medium
178,1,3,low,low,low,low,low
179,1,4,medium,medium,medium,medium,medium
180,1,4,low,low,low,low,low
181,1,5,medium,medium,medium,medium,medium
182,1,3,low,low,medium,low,low
183,1,4,medium,medium,medium,medium,low
184,1,3,low,low,medium,low,low
185,1,3,low,low,low,low,low
186,1,3,low,low,medium,medium,low
187,1,1,low,low,low,low,low
188,1,4,medium,medium,medium,medium,low
189,1,2,low,low,low,low,low
190,1,6,medium,medium,medium,medium,medium
191,1,4,medium,medium,medium,medium,medium
192,1,4,medium,low,medium,medium,low
